Fig 1C,,,
Item,Group,Day0_27,Mean_sem
TIR,O,D0,NaN¡ÀNA
TIR,O,D1,76.50¡À9.99
TIR,O,D2,88.19¡À7.31
TIR,O,D3,96.53¡À1.89
TIR,O,D4,99.31¡À0.58
TIR,O,D5,98.73¡À0.77
TIR,O,D6,98.03¡À1.16
TIR,O,D7,99.07¡À0.80
TIR,O,D8,99.35¡À0.44
TIR,O,D9,99.22¡À0.55
TIR,O,D10,97.11¡À1.69
TIR,O,D11,99.19¡À0.69
TIR,O,D12,97.80¡À1.02
TIR,O,D13,95.83¡À3.19
TIR,O,D14,NaN¡ÀNA
TIR,O,D15,67.13¡À10.07
TIR,O,D16,88.31¡À5.57
TIR,O,D17,92.59¡À4.88
TIR,O,D18,92.97¡À4.90
TIR,O,D19,94.53¡À4.45
TIR,O,D20,96.22¡À2.66
TIR,O,D21,96.53¡À2.43
TIR,O,D22,98.15¡À1.17
TIR,O,D23,95.49¡À2.50
TIR,O,D24,90.16¡À7.40
TIR,O,D25,86.46¡À8.39
TIR,O,D26,85.81¡À8.67
TIR,O,D27,78.27¡À10.05
TIR,T,D0,NaN¡ÀNA
TIR,T,D1,81.48¡À9.25
TIR,T,D2,84.84¡À6.47
TIR,T,D3,83.68¡À6.94
TIR,T,D4,84.61¡À6.10
TIR,T,D5,85.42¡À8.50
TIR,T,D6,87.27¡À4.89
TIR,T,D7,83.45¡À7.44
TIR,T,D8,77.66¡À9.25
TIR,T,D9,84.77¡À7.45
TIR,T,D10,78.91¡À9.00
TIR,T,D11,83.20¡À5.76
TIR,T,D12,78.52¡À7.76
TIR,T,D13,71.28¡À9.62
TIR,T,D14,NaN¡ÀNA
TIR,T,D15,81.90¡À9.22
TIR,T,D16,79.95¡À10.10
TIR,T,D17,82.94¡À8.02
TIR,T,D18,79.95¡À8.31
TIR,T,D19,80.08¡À8.50
TIR,T,D20,81.77¡À6.79
TIR,T,D21,83.46¡À7.48
TIR,T,D22,78.52¡À7.79
TIR,T,D23,86.46¡À5.03
TIR,T,D24,75.26¡À7.72
TIR,T,D25,74.55¡À8.42
TIR,T,D26,70.90¡À10.96
TIR,T,D27,81.04¡À10.24
