Fig 1G,,,
Item,Group,Day0_27,Mean_sem
MAGE,O,D0,NaN¡ÀNA
MAGE,O,D1,40.89¡À5.71
MAGE,O,D2,37.32¡À3.21
MAGE,O,D3,34.30¡À3.84
MAGE,O,D4,35.99¡À4.35
MAGE,O,D5,37.74¡À4.98
MAGE,O,D6,37.79¡À6.18
MAGE,O,D7,28.97¡À3.71
MAGE,O,D8,36.38¡À3.59
MAGE,O,D9,37.30¡À6.84
MAGE,O,D10,35.41¡À3.88
MAGE,O,D11,35.27¡À5.37
MAGE,O,D12,32.67¡À4.40
MAGE,O,D13,37.49¡À3.15
MAGE,O,D14,NaN¡ÀNA
MAGE,O,D15,37.85¡À3.93
MAGE,O,D16,33.24¡À3.45
MAGE,O,D17,29.97¡À3.66
MAGE,O,D18,38.64¡À4.71
MAGE,O,D19,40.99¡À6.42
MAGE,O,D20,35.91¡À6.95
MAGE,O,D21,31.16¡À2.00
MAGE,O,D22,26.87¡À3.29
MAGE,O,D23,30.79¡À3.95
MAGE,O,D24,30.76¡À2.72
MAGE,O,D25,30.88¡À3.39
MAGE,O,D26,26.92¡À3.45
MAGE,O,D27,28.03¡À3.37
MAGE,T,D0,NaN¡ÀNA
MAGE,T,D1,70.40¡À12.21
MAGE,T,D2,72.02¡À14.02
MAGE,T,D3,81.33¡À17.92
MAGE,T,D4,91.98¡À17.68
MAGE,T,D5,66.87¡À12.68
MAGE,T,D6,81.48¡À21.09
MAGE,T,D7,69.99¡À12.14
MAGE,T,D8,77.11¡À13.93
MAGE,T,D9,74.81¡À11.15
MAGE,T,D10,77.74¡À13.16
MAGE,T,D11,62.70¡À15.52
MAGE,T,D12,68.36¡À14.42
MAGE,T,D13,80.42¡À17.38
MAGE,T,D14,NaN¡ÀNA
MAGE,T,D15,55.68¡À11.16
MAGE,T,D16,56.26¡À13.32
MAGE,T,D17,64.56¡À9.63
MAGE,T,D18,81.18¡À20.85
MAGE,T,D19,72.88¡À10.55
MAGE,T,D20,71.59¡À13.87
MAGE,T,D21,73.26¡À16.33
MAGE,T,D22,64.82¡À8.91
MAGE,T,D23,79.84¡À10.99
MAGE,T,D24,70.42¡À13.27
MAGE,T,D25,66.88¡À11.61
MAGE,T,D26,75.85¡À11.76
MAGE,T,D27,74.85¡À21.96
