Fig 1I,,,
Item,Group,Day0_27,Mean_sem
CONGA,O,D0,NaN¡ÀNA
CONGA,O,D1,18.18¡À2.10
CONGA,O,D2,17.53¡À1.48
CONGA,O,D3,17.32¡À2.30
CONGA,O,D4,18.39¡À2.22
CONGA,O,D5,18.91¡À2.24
CONGA,O,D6,17.11¡À2.36
CONGA,O,D7,14.36¡À1.79
CONGA,O,D8,14.40¡À1.39
CONGA,O,D9,16.06¡À2.43
CONGA,O,D10,18.42¡À2.09
CONGA,O,D11,16.44¡À2.08
CONGA,O,D12,15.74¡À2.09
CONGA,O,D13,14.98¡À1.32
CONGA,O,D14,NaN¡ÀNA
CONGA,O,D15,15.79¡À1.53
CONGA,O,D16,16.29¡À1.47
CONGA,O,D17,13.96¡À1.52
CONGA,O,D18,15.87¡À1.97
CONGA,O,D19,17.32¡À2.53
CONGA,O,D20,15.69¡À2.54
CONGA,O,D21,14.16¡À1.07
CONGA,O,D22,13.64¡À1.70
CONGA,O,D23,15.22¡À1.94
CONGA,O,D24,15.07¡À0.75
CONGA,O,D25,16.17¡À1.80
CONGA,O,D26,12.78¡À1.67
CONGA,O,D27,13.23¡À1.70
CONGA,T,D0,NaN¡ÀNA
CONGA,T,D1,28.57¡À4.40
CONGA,T,D2,27.16¡À3.65
CONGA,T,D3,29.87¡À3.90
CONGA,T,D4,30.09¡À4.47
CONGA,T,D5,25.97¡À3.73
CONGA,T,D6,26.45¡À4.10
CONGA,T,D7,24.51¡À4.25
CONGA,T,D8,28.63¡À3.66
CONGA,T,D9,28.30¡À4.77
CONGA,T,D10,26.59¡À3.77
CONGA,T,D11,24.52¡À4.79
CONGA,T,D12,25.82¡À4.71
CONGA,T,D13,25.08¡À5.18
CONGA,T,D14,NaN¡ÀNA
CONGA,T,D15,22.89¡À2.76
CONGA,T,D16,22.47¡À3.16
CONGA,T,D17,23.47¡À2.54
CONGA,T,D18,27.47¡À4.62
CONGA,T,D19,27.42¡À3.77
CONGA,T,D20,27.75¡À4.66
CONGA,T,D21,23.61¡À4.63
CONGA,T,D22,25.90¡À3.05
CONGA,T,D23,28.56¡À3.10
CONGA,T,D24,24.34¡À3.91
CONGA,T,D25,25.55¡À4.24
CONGA,T,D26,25.37¡À4.38
CONGA,T,D27,24.39¡À4.46
