Fig 2B,,,
Item,Group,Day0_27,Mean_sem
Shannon,O,D0,4.30¡À0.17
Shannon,O,D1,4.25¡À0.23
Shannon,O,D2,4.13¡À0.35
Shannon,O,D3,4.24¡À0.17
Shannon,O,D4,4.19¡À0.18
Shannon,O,D5,4.24¡À0.16
Shannon,O,D6,4.30¡À0.20
Shannon,O,D7,4.05¡À0.30
Shannon,O,D8,4.27¡À0.18
Shannon,O,D9,4.02¡À0.35
Shannon,O,D10,4.04¡À0.25
Shannon,O,D11,4.21¡À0.22
Shannon,O,D12,4.34¡À0.20
Shannon,O,D13,4.16¡À0.23
Shannon,O,D14,4.32¡À0.18
Shannon,O,D15,4.26¡À0.25
Shannon,O,D16,3.94¡À0.44
Shannon,O,D17,4.37¡À0.20
Shannon,O,D18,4.36¡À0.16
Shannon,O,D19,4.51¡À0.10
Shannon,O,D20,4.46¡À0.14
Shannon,O,D21,4.62¡À0.07
Shannon,O,D22,4.12¡À0.35
Shannon,O,D23,4.08¡À0.37
Shannon,O,D24,4.66¡À0.07
Shannon,O,D25,4.59¡À0.12
Shannon,O,D26,4.37¡À0.10
Shannon,O,D27,4.49¡À0.08
Shannon,O,D56,4.45¡À0.12
Shannon,T,D0,3.73¡À0.27
Shannon,T,D1,3.72¡À0.17
Shannon,T,D2,4.07¡À0.18
Shannon,T,D3,3.76¡À0.20
Shannon,T,D4,3.68¡À0.37
Shannon,T,D5,3.73¡À0.29
Shannon,T,D6,3.97¡À0.16
Shannon,T,D7,4.16¡À0.09
Shannon,T,D8,4.02¡À0.15
Shannon,T,D9,3.86¡À0.24
Shannon,T,D10,4.14¡À0.15
Shannon,T,D11,3.91¡À0.20
Shannon,T,D12,4.20¡À0.08
Shannon,T,D13,4.02¡À0.24
Shannon,T,D14,4.30¡À0.09
Shannon,T,D15,4.17¡À0.18
Shannon,T,D16,4.27¡À0.14
Shannon,T,D17,4.16¡À0.14
Shannon,T,D18,4.22¡À0.08
Shannon,T,D19,4.09¡À0.10
Shannon,T,D20,4.07¡À0.21
Shannon,T,D21,4.22¡À0.11
Shannon,T,D22,4.05¡À0.17
Shannon,T,D23,3.84¡À0.21
Shannon,T,D24,4.08¡À0.11
Shannon,T,D25,4.18¡À0.14
Shannon,T,D26,4.10¡À0.10
Shannon,T,D27,4.00¡À0.17
Shannon,T,D56,3.90¡À0.23
