Fig 2E,,,
Item,Group,Day0_27,Mean_sem
strain numbers,O,D0,1077.90¡À2.92
strain numbers,O,D1,1073.38¡À4.74
strain numbers,O,D2,1073.50¡À4.13
strain numbers,O,D3,1067.50¡À8.05
strain numbers,O,D4,1074.50¡À4.18
strain numbers,O,D5,1069.62¡À5.53
strain numbers,O,D6,1061.86¡À8.24
strain numbers,O,D7,1070.43¡À6.84
strain numbers,O,D8,1072.22¡À8.12
strain numbers,O,D9,1076.29¡À5.63
strain numbers,O,D10,1064.43¡À12.71
strain numbers,O,D11,1070.50¡À4.14
strain numbers,O,D12,1057.29¡À11.98
strain numbers,O,D13,1067.57¡À5.07
strain numbers,O,D14,1072.57¡À5.29
strain numbers,O,D15,1076.88¡À3.20
strain numbers,O,D16,1076.14¡À3.76
strain numbers,O,D17,1080.80¡À2.34
strain numbers,O,D18,1075.14¡À3.85
strain numbers,O,D19,1070.67¡À11.45
strain numbers,O,D20,1076.44¡À3.93
strain numbers,O,D21,1069.20¡À10.66
strain numbers,O,D22,1080.00¡À2.40
strain numbers,O,D23,1082.33¡À3.01
strain numbers,O,D24,1088.43¡À2.43
strain numbers,O,D25,1085.67¡À2.50
strain numbers,O,D26,1084.71¡À2.20
strain numbers,O,D27,1086.43¡À1.73
strain numbers,O,D56,1072.60¡À7.98
strain numbers,T,D0,1067.75¡À4.81
strain numbers,T,D1,1068.75¡À5.11
strain numbers,T,D2,1064.67¡À6.24
strain numbers,T,D3,1062.33¡À7.22
strain numbers,T,D4,1055.38¡À8.87
strain numbers,T,D5,1065.29¡À6.65
strain numbers,T,D6,1058.88¡À6.87
strain numbers,T,D7,1065.89¡À7.25
strain numbers,T,D8,1064.00¡À4.62
strain numbers,T,D9,1064.71¡À5.58
strain numbers,T,D10,1072.86¡À5.50
strain numbers,T,D11,1057.43¡À6.21
strain numbers,T,D12,1061.71¡À5.25
strain numbers,T,D13,1042.00¡À9.75
strain numbers,T,D14,1051.50¡À9.95
strain numbers,T,D15,1073.62¡À4.06
strain numbers,T,D16,1077.50¡À2.60
strain numbers,T,D17,1075.57¡À3.11
strain numbers,T,D18,1058.60¡À4.93
strain numbers,T,D19,1066.56¡À5.79
strain numbers,T,D20,1065.83¡À3.46
strain numbers,T,D21,1056.43¡À9.37
strain numbers,T,D22,1070.56¡À8.22
strain numbers,T,D23,1072.00¡À5.85
strain numbers,T,D24,1077.12¡À2.64
strain numbers,T,D25,1080.86¡À2.73
strain numbers,T,D26,1083.33¡À2.42
strain numbers,T,D27,1078.33¡À2.33
strain numbers,T,D56,1064.78¡À7.58
