ID,Day0_27,PCoA1,PCoA2
O01,D0,-0.14 ,0.16 
O01,D1,-0.18 ,0.12 
O01,D2,-0.17 ,0.13 
O01,D3,0.05 ,-0.02 
O01,D4,0.06 ,-0.01 
O01,D5,0.03 ,0.00 
O01,D6,-0.09 ,0.10 
O01,D7,-0.11 ,0.12 
O01,D8,-0.09 ,0.11 
O01,D9,-0.02 ,0.05 
O01,D10,0.08 ,-0.01 
O01,D11,0.02 ,0.01 
O01,D12,-0.04 ,0.03 
O01,D13,-0.06 ,0.07 
O01,D14,0.07 ,-0.02 
O01,D15,0.03 ,0.00 
O01,D16,0.14 ,-0.13 
O01,D17,0.15 ,-0.13 
O01,D18,0.20 ,-0.16 
O01,D19,0.07 ,-0.09 
O01,D20,0.02 ,-0.06 
O01,D21,0.04 ,-0.08 
O01,D22,0.14 ,-0.15 
O01,D23,0.02 ,-0.04 
O01,D24,-0.07 ,0.01 
O01,D25,-0.15 ,0.06 
O01,D26,0.16 ,-0.17 
O01,D27,0.13 ,-0.16 
O01,D56,-0.22 ,0.11 
O02,D0,0.05 ,0.06 
O02,D1,0.04 ,0.06 
O02,D2,0.07 ,0.06 
O02,D3,0.07 ,0.01 
O02,D4,0.08 ,0.09 
O02,D5,0.11 ,0.15 
O02,D6,0.07 ,0.05 
O02,D7,0.10 ,0.07 
O02,D8,0.07 ,0.07 
O02,D9,0.14 ,0.19 
O02,D10,0.09 ,0.13 
O02,D11,0.01 ,-0.04 
O02,D12,0.11 ,0.16 
O02,D13,-0.08 ,-0.02 
O02,D14,0.08 ,0.14 
O02,D15,-0.10 ,-0.11 
O02,D16,-0.04 ,-0.09 
O02,D17,-0.15 ,-0.07 
O02,D18,0.06 ,0.00 
O02,D19,-0.05 ,-0.11 
O02,D20,-0.10 ,-0.09 
O02,D21,-0.14 ,-0.14 
O02,D22,-0.06 ,-0.16 
O02,D23,-0.04 ,-0.12 
O02,D24,-0.01 ,-0.11 
O02,D25,-0.08 ,-0.08 
O02,D26,-0.08 ,0.03 
O02,D27,-0.14 ,-0.23 
O02,D56,-0.06 ,-0.03 
O03,D0,0.15 ,0.14 
O03,D1,0.12 ,0.11 
O03,D2,0.15 ,0.14 
O03,D3,0.10 ,0.14 
O03,D4,0.07 ,0.12 
O03,D5,-0.04 ,-0.01 
O03,D6,0.05 ,0.10 
O03,D8,0.10 ,0.19 
