Fig 2J,,,
Item,Group,Day0_27,Mean_sem
PCoA1,O,D0,0.01¡À0.03
PCoA1,O,D1,0.00¡À0.03
PCoA1,O,D2,-0.00¡À0.03
PCoA1,O,D3,0.03¡À0.02
PCoA1,O,D4,0.04¡À0.01
PCoA1,O,D5,0.02¡À0.03
PCoA1,O,D6,0.01¡À0.03
PCoA1,O,D7,0.03¡À0.04
PCoA1,O,D8,0.01¡À0.02
PCoA1,O,D9,0.01¡À0.03
PCoA1,O,D10,0.01¡À0.04
PCoA1,O,D11,0.02¡À0.02
PCoA1,O,D12,0.01¡À0.02
PCoA1,O,D13,0.02¡À0.04
PCoA1,O,D14,-0.00¡À0.02
PCoA1,O,D15,-0.01¡À0.02
PCoA1,O,D16,0.01¡À0.03
PCoA1,O,D17,-0.02¡À0.02
PCoA1,O,D18,0.02¡À0.04
PCoA1,O,D19,0.01¡À0.04
PCoA1,O,D20,0.01¡À0.03
PCoA1,O,D21,-0.04¡À0.03
PCoA1,O,D22,0.02¡À0.02
PCoA1,O,D23,-0.01¡À0.05
PCoA1,O,D24,-0.02¡À0.02
PCoA1,O,D25,-0.05¡À0.04
PCoA1,O,D26,0.01¡À0.05
PCoA1,O,D27,-0.02¡À0.04
PCoA1,O,D56,-0.07¡À0.03
PCoA1,T,D0,0.09¡À0.05
PCoA1,T,D1,0.05¡À0.03
PCoA1,T,D2,0.05¡À0.02
PCoA1,T,D3,0.08¡À0.04
PCoA1,T,D4,0.08¡À0.05
PCoA1,T,D5,0.08¡À0.05
PCoA1,T,D6,0.00¡À0.04
PCoA1,T,D7,-0.03¡À0.04
PCoA1,T,D8,0.02¡À0.05
PCoA1,T,D9,0.11¡À0.04
PCoA1,T,D10,0.05¡À0.03
PCoA1,T,D11,0.07¡À0.03
PCoA1,T,D12,-0.04¡À0.02
PCoA1,T,D13,0.04¡À0.04
PCoA1,T,D14,-0.01¡À0.01
PCoA1,T,D15,0.01¡À0.03
PCoA1,T,D16,-0.02¡À0.02
PCoA1,T,D17,-0.06¡À0.04
PCoA1,T,D18,-0.06¡À0.05
PCoA1,T,D19,-0.05¡À0.03
PCoA1,T,D20,-0.01¡À0.02
PCoA1,T,D21,-0.07¡À0.04
PCoA1,T,D22,-0.07¡À0.03
PCoA1,T,D23,-0.03¡À0.06
PCoA1,T,D24,-0.06¡À0.04
PCoA1,T,D25,-0.06¡À0.03
PCoA1,T,D26,-0.07¡À0.04
PCoA1,T,D27,-0.09¡À0.04
PCoA1,T,D56,0.04¡À0.04
