Fig 3A,,,
Group,Bin_name_1,Bin_name_2,average_r
O,Bin985,Bin983,0.49 
O,Bin912,Bin888,0.62 
O,Bin904,Bin888,0.70 
O,Bin887,Bin881,0.57 
O,Bin926,Bin860,0.59 
O,Bin913,Bin870,0.68 
O,Bin913,Bin859,0.79 
O,Bin888,Bin876,0.69 
O,Bin888,Bin859,0.72 
O,Bin870,Bin859,0.62 
O,Bin1095,Bin1031,0.86 
O,Bin1095,Bin832,0.88 
O,Bin1008,Bin816,0.57 
O,Bin851,Bin845,0.65 
O,Bin851,Bin817,0.76 
O,Bin851,Bin815,0.67 
O,Bin817,Bin815,0.68 
O,Bin817,Bin804,0.65 
O,Bin817,Bin792,0.71 
O,Bin815,Bin792,0.58 
O,Bin795,Bin788,0.65 
O,Bin758,Bin750,0.77 
O,Bin965,Bin714,0.87 
O,Bin840,Bin710,0.74 
O,Bin747,Bin707,0.58 
O,Bin707,Bin676,0.80 
O,Bin683,Bin675,0.66 
O,Bin860,Bin662,0.56 
O,Bin876,Bin630,0.69 
O,Bin1065,Bin785,0.70 
O,Bin1065,Bin495,0.77 
O,Bin1099,Bin1076,0.60 
O,Bin1099,Bin848,0.85 
O,Bin1099,Bin569,0.70 
O,Bin1099,Bin482,0.78 
O,Bin1076,Bin466,0.65 
O,Bin1064,Bin1002,0.70 
O,Bin1064,Bin752,0.63 
O,Bin1064,Bin657,0.72 
O,Bin1064,Bin515,0.80 
O,Bin1064,Bin491,0.92 
O,Bin1064,Bin470,0.68 
O,Bin1064,Bin465,0.70 
O,Bin501,Bin496,0.73 
O,Bin501,Bin463,0.65 
O,Bin489,Bin463,0.62 
O,Bin478,Bin463,0.67 
O,Bin478,Bin462,0.64 
O,Bin1089,Bin759,0.59 
O,Bin1089,Bin674,0.75 
O,Bin1089,Bin457,0.54 
O,Bin896,Bin859,0.57 
O,Bin896,Bin552,0.76 
O,Bin896,Bin442,0.73 
O,Bin466,Bin437,0.83 
O,Bin738,Bin529,0.93 
O,Bin738,Bin436,0.53 
O,Bin878,Bin858,0.59 
O,Bin878,Bin418,0.86 
O,Bin943,Bin727,0.69 
O,Bin943,Bin411,0.54 
O,Bin426,Bin403,0.55 
O,Bin652,Bin608,0.52 
O,Bin652,Bin402,0.55 
O,Bin637,Bin609,0.57 
O,Bin637,Bin402,0.54 
O,Bin412,Bin396,0.59 
O,Bin872,Bin798,0.52 
O,Bin872,Bin383,0.79 
O,Bin395,Bin377,0.73 
O,Bin488,Bin470,0.62 
O,Bin488,Bin463,0.61 
O,Bin488,Bin396,0.91 
O,Bin488,Bin375,0.60 
O,Bin499,Bin372,0.68 
O,Bin408,Bin371,0.69 
O,Bin407,Bin397,0.67 
O,Bin407,Bin376,0.62 
O,Bin407,Bin371,0.69 
O,Bin883,Bin657,0.97 
O,Bin883,Bin618,0.97 
O,Bin883,Bin452,0.65 
O,Bin883,Bin367,0.89 
O,Bin603,Bin367,0.61 
O,Bin389,Bin366,0.69 
O,Bin367,Bin366,0.69 
O,Bin974,Bin784,0.64 
