Fig 3B,,,
Group,Bin_name_1,Bin_name_2,average_r
T,Bin70,Bin2,-0.50 
T,Bin103,Bin2,-0.53 
T,Bin141,Bin2,-0.48 
T,Bin147,Bin2,-0.51 
T,Bin325,Bin2,-0.61 
T,Bin555,Bin2,-0.48 
T,Bin596,Bin2,-0.59 
T,Bin634,Bin2,-0.58 
T,Bin684,Bin2,-0.56 
T,Bin743,Bin2,-0.69 
T,Bin751,Bin2,-0.54 
T,Bin784,Bin2,-0.58 
T,Bin855,Bin2,-0.59 
T,Bin936,Bin2,-0.55 
T,Bin941,Bin2,-0.65 
T,Bin988,Bin2,-0.55 
T,Bin54,Bin18,-0.61 
T,Bin118,Bin18,-0.60 
T,Bin452,Bin18,-0.69 
T,Bin667,Bin18,-0.51 
T,Bin693,Bin18,-0.69 
T,Bin775,Bin18,-0.64 
T,Bin863,Bin18,-0.61 
T,Bin995,Bin18,-0.62 
T,Bin1094,Bin18,-0.63 
T,Bin301,Bin21,-0.63 
T,Bin274,Bin22,-0.57 
T,Bin411,Bin22,-0.61 
T,Bin452,Bin22,-0.61 
T,Bin629,Bin22,-0.56 
T,Bin693,Bin22,-0.60 
T,Bin775,Bin22,-0.60 
T,Bin850,Bin22,-0.54 
T,Bin863,Bin22,-0.55 
T,Bin995,Bin22,-0.61 
T,Bin386,Bin39,-0.54 
T,Bin820,Bin41,-0.56 
T,Bin85,Bin45,-0.64 
T,Bin141,Bin45,-0.57 
T,Bin575,Bin45,-0.66 
T,Bin636,Bin45,-0.53 
T,Bin690,Bin45,-0.64 
T,Bin784,Bin45,-0.68 
T,Bin800,Bin45,-0.60 
T,Bin846,Bin45,-0.60 
T,Bin855,Bin45,-0.60 
T,Bin953,Bin45,-0.60 
T,Bin1007,Bin45,-0.56 
T,Bin1026,Bin45,-0.61 
T,Bin1089,Bin45,-0.49 
T,Bin291,Bin50,-0.53 
T,Bin218,Bin54,-0.61 
T,Bin301,Bin54,-0.57 
T,Bin392,Bin54,-0.60 
T,Bin575,Bin54,-0.61 
T,Bin634,Bin54,-0.62 
T,Bin796,Bin54,-0.63 
T,Bin843,Bin54,-0.62 
T,Bin909,Bin54,-0.60 
T,Bin941,Bin54,-0.68 
T,Bin345,Bin57,-0.57 
T,Bin760,Bin57,-0.54 
T,Bin788,Bin57,-0.53 
T,Bin816,Bin57,-0.53 
T,Bin877,Bin57,-0.57 
T,Bin1003,Bin57,-0.56 
T,Bin1012,Bin57,-0.67 
T,Bin210,Bin59,-0.72 
T,Bin777,Bin59,-0.71 
T,Bin905,Bin59,-0.68 
T,Bin141,Bin65,-0.60 
T,Bin325,Bin65,-0.56 
T,Bin558,Bin65,-0.59 
T,Bin562,Bin65,-0.58 
T,Bin697,Bin65,-0.57 
T,Bin743,Bin65,-0.56 
T,Bin800,Bin65,-0.63 
T,Bin822,Bin65,-0.63 
T,Bin874,Bin65,-0.58 
T,Bin947,Bin65,-0.60 
T,Bin456,Bin66,-0.47 
T,Bin765,Bin66,-0.50 
T,Bin296,Bin69,-0.50 
T,Bin513,Bin69,-0.56 
T,Bin702,Bin69,-0.55 
T,Bin791,Bin69,-0.61 
T,Bin104,Bin70,-0.59 
T,Bin210,Bin70,-0.68 
T,Bin460,Bin70,-0.54 
T,Bin777,Bin70,-0.69 
T,Bin905,Bin70,-0.66 
T,Bin975,Bin70,-0.63 
T,Bin777,Bin79,-0.57 
T,Bin103,Bin81,-0.54 
T,Bin751,Bin81,-0.60 
T,Bin846,Bin81,-0.53 
T,Bin946,Bin81,-0.65 
T,Bin104,Bin85,-0.62 
T,Bin106,Bin85,-0.56 
T,Bin775,Bin85,-0.59 
T,Bin958,Bin85,-0.64 
T,Bin871,Bin88,-0.56 
T,Bin210,Bin98,-0.54 
T,Bin452,Bin101,-0.58 
T,Bin460,Bin101,-0.60 
T,Bin508,Bin101,-0.45 
T,Bin775,Bin101,-0.61 
T,Bin1007,Bin104,-0.59 
T,Bin147,Bin106,-0.59 
T,Bin258,Bin106,-0.55 
T,Bin440,Bin106,-0.65 
T,Bin555,Bin106,-0.58 
T,Bin562,Bin106,-0.61 
T,Bin688,Bin106,-0.52 
T,Bin723,Bin106,-0.61 
T,Bin960,Bin106,-0.59 
T,Bin210,Bin108,-0.55 
T,Bin588,Bin108,-0.58 
T,Bin777,Bin108,-0.56 
T,Bin905,Bin108,-0.52 
T,Bin287,Bin109,-0.49 
T,Bin252,Bin114,-0.63 
T,Bin141,Bin118,-0.59 
T,Bin596,Bin118,-0.69 
T,Bin622,Bin118,-0.55 
T,Bin690,Bin118,-0.63 
T,Bin726,Bin118,-0.58 
T,Bin741,Bin118,-0.55 
T,Bin743,Bin118,-0.66 
T,Bin800,Bin118,-0.61 
T,Bin808,Bin118,-0.60 
T,Bin822,Bin118,-0.68 
T,Bin874,Bin118,-0.62 
T,Bin946,Bin118,-0.62 
T,Bin210,Bin129,-0.50 
T,Bin905,Bin129,-0.51 
T,Bin166,Bin133,-0.53 
T,Bin901,Bin133,-0.53 
T,Bin701,Bin135,-0.55 
T,Bin256,Bin136,-0.48 
T,Bin413,Bin136,-0.58 
T,Bin811,Bin136,-0.57 
T,Bin210,Bin139,-0.56 
T,Bin842,Bin139,-0.68 
T,Bin871,Bin139,-0.60 
T,Bin905,Bin139,-0.58 
T,Bin629,Bin141,-0.60 
T,Bin231,Bin142,-0.59 
T,Bin333,Bin143,-0.58 
T,Bin210,Bin147,-0.67 
T,Bin393,Bin147,-0.55 
T,Bin419,Bin147,-0.64 
T,Bin460,Bin147,-0.58 
T,Bin701,Bin147,-0.66 
T,Bin775,Bin147,-0.64 
T,Bin777,Bin147,-0.69 
T,Bin863,Bin147,-0.55 
T,Bin905,Bin147,-0.66 
T,Bin958,Bin147,-0.69 
T,Bin975,Bin147,-0.68 
T,Bin697,Bin154,-0.48 
T,Bin855,Bin156,-0.64 
T,Bin936,Bin156,-0.59 
T,Bin456,Bin161,-0.56 
T,Bin668,Bin164,-0.63 
T,Bin558,Bin166,-0.53 
T,Bin596,Bin166,-0.50 
T,Bin690,Bin166,-0.49 
T,Bin692,Bin166,-0.53 
T,Bin697,Bin166,-0.54 
T,Bin797,Bin166,-0.48 
T,Bin800,Bin166,-0.53 
T,Bin822,Bin166,-0.52 
T,Bin980,Bin166,-0.51 
T,Bin562,Bin176,-0.55 
T,Bin257,Bin178,-0.60 
T,Bin301,Bin178,-0.58 
T,Bin485,Bin178,-0.52 
T,Bin791,Bin178,-0.55 
T,Bin842,Bin178,-0.48 
T,Bin325,Bin180,-0.56 
T,Bin456,Bin180,-0.54 
T,Bin574,Bin180,-0.51 
T,Bin596,Bin180,-0.62 
T,Bin743,Bin180,-0.58 
T,Bin946,Bin180,-0.63 
T,Bin1051,Bin180,-0.64 
T,Bin364,Bin181,-0.63 
T,Bin392,Bin181,-0.64 
T,Bin605,Bin181,-0.59 
T,Bin741,Bin181,-0.64 
T,Bin837,Bin181,-0.61 
T,Bin909,Bin181,-0.65 
T,Bin419,Bin182,-0.58 
T,Bin588,Bin182,-0.56 
T,Bin693,Bin182,-0.56 
T,Bin863,Bin182,-0.49 
T,Bin975,Bin182,-0.66 
T,Bin606,Bin184,-0.58 
T,Bin490,Bin194,-0.56 
T,Bin258,Bin210,-0.60 
T,Bin446,Bin210,-0.60 
T,Bin567,Bin210,-0.53 
T,Bin593,Bin210,-0.53 
T,Bin668,Bin210,-0.57 
T,Bin751,Bin210,-0.65 
T,Bin824,Bin210,-0.58 
T,Bin936,Bin210,-0.62 
T,Bin726,Bin213,-0.58 
T,Bin392,Bin219,-0.57 
T,Bin726,Bin219,-0.52 
T,Bin741,Bin219,-0.59 
T,Bin843,Bin219,-0.60 
T,Bin909,Bin219,-0.58 
T,Bin728,Bin221,-0.53 
T,Bin935,Bin221,-0.55 
T,Bin863,Bin226,-0.47 
T,Bin422,Bin227,-0.65 
T,Bin428,Bin227,-0.55 
T,Bin604,Bin227,-0.55 
T,Bin667,Bin227,-0.59 
T,Bin790,Bin227,-0.65 
T,Bin850,Bin227,-0.57 
T,Bin1094,Bin227,-0.62 
T,Bin1066,Bin231,-0.56 
T,Bin684,Bin242,-0.60 
T,Bin751,Bin242,-0.59 
T,Bin1069,Bin242,-0.54 
T,Bin341,Bin245,-0.52 
T,Bin413,Bin245,-0.54 
T,Bin415,Bin252,-0.55 
T,Bin441,Bin252,-0.62 
T,Bin460,Bin258,-0.57 
T,Bin905,Bin258,-0.56 
T,Bin975,Bin258,-0.63 
T,Bin668,Bin264,-0.55 
T,Bin540,Bin271,-0.57 
T,Bin380,Bin274,-0.49 
T,Bin810,Bin274,-0.58 
T,Bin1072,Bin274,-0.56 
T,Bin1089,Bin274,-0.54 
T,Bin555,Bin278,-0.53 
T,Bin562,Bin278,-0.52 
T,Bin975,Bin279,-0.59 
T,Bin496,Bin281,-0.49 
T,Bin909,Bin281,-0.51 
T,Bin636,Bin282,-0.50 
T,Bin575,Bin289,-0.47 
T,Bin415,Bin301,-0.54 
T,Bin452,Bin301,-0.57 
T,Bin629,Bin301,-0.54 
T,Bin744,Bin301,-0.55 
T,Bin863,Bin301,-0.53 
T,Bin899,Bin301,-0.55 
T,Bin1040,Bin301,-0.59 
T,Bin757,Bin302,-0.58 
T,Bin1010,Bin308,-0.52 
T,Bin320,Bin309,-0.63 
T,Bin680,Bin309,-0.56 
T,Bin855,Bin320,-0.63 
T,Bin936,Bin320,-0.62 
T,Bin1051,Bin320,-0.62 
T,Bin596,Bin321,-0.64 
T,Bin690,Bin321,-0.64 
T,Bin784,Bin321,-0.60 
