CAG,dayD14,dayD15,dayD16,dayD17,dayD18,dayD19,dayD20,dayD21,dayD22,dayD23,dayD24,dayD25,dayD26,dayD27
O_CAG21,0.13 ,0.24 ,0.13 ,0.57 ,0.24 ,0.02 ,0.09 ,0.32 ,0.13 ,0.32 ,0.35 ,0.83 ,0.88 ,0.15 
O_CAG19,0.12 ,0.19 ,0.13 ,0.70 ,0.55 ,0.19 ,0.26 ,0.43 ,0.42 ,0.77 ,0.63 ,0.54 ,0.88 ,0.07 
O_CAG49,0.22 ,0.19 ,0.00 ,0.63 ,0.62 ,0.80 ,0.45 ,0.59 ,0.11 ,0.13 ,0.38 ,0.67 ,0.90 ,0.67 
O_CAG50,0.34 ,0.27 ,0.71 ,0.75 ,0.27 ,0.22 ,0.52 ,0.90 ,0.18 ,0.23 ,0.68 ,0.82 ,0.60 ,0.98 
O_CAG25,0.45 ,0.96 ,0.18 ,0.72 ,0.80 ,0.23 ,0.62 ,0.46 ,0.29 ,0.62 ,0.39 ,0.68 ,0.64 ,0.26 
O_CAG36,0.86 ,0.71 ,0.10 ,0.07 ,0.20 ,0.07 ,0.50 ,0.23 ,0.09 ,0.39 ,0.23 ,0.13 ,0.65 ,0.26 
O_CAG57,0.38 ,0.09 ,0.60 ,0.21 ,0.31 ,0.19 ,0.03 ,0.31 ,0.59 ,0.95 ,0.61 ,0.98 ,0.30 ,0.31 
O_CAG34,0.76 ,0.46 ,0.03 ,0.41 ,0.31 ,0.04 ,0.40 ,0.69 ,0.04 ,0.21 ,0.32 ,0.82 ,0.36 ,0.28 
O_CAG65,0.22 ,0.06 ,0.01 ,0.02 ,0.15 ,0.32 ,0.09 ,0.61 ,0.02 ,0.26 ,0.34 ,0.66 ,0.72 ,0.20 
O_CAG33,0.72 ,0.45 ,0.01 ,0.16 ,0.16 ,0.08 ,0.07 ,0.43 ,0.00 ,0.01 ,0.09 ,0.59 ,0.03 ,0.16 
O_CAG22,0.76 ,0.40 ,0.03 ,0.34 ,0.79 ,0.29 ,0.65 ,0.61 ,0.08 ,0.10 ,0.27 ,0.60 ,0.83 ,0.19 
O_CAG45,0.42 ,0.76 ,0.19 ,0.08 ,0.51 ,0.91 ,0.74 ,0.79 ,0.40 ,0.67 ,0.51 ,0.20 ,0.33 ,0.72 
O_CAG46,0.80 ,0.70 ,0.04 ,0.17 ,0.25 ,0.55 ,0.24 ,0.36 ,0.00 ,0.00 ,0.06 ,0.31 ,0.10 ,0.16 
O_CAG14,0.28 ,0.95 ,0.99 ,0.82 ,0.46 ,0.91 ,0.82 ,0.61 ,0.88 ,0.41 ,0.58 ,0.24 ,0.37 ,0.65 
O_CAG56,0.14 ,0.24 ,0.10 ,0.11 ,0.07 ,0.15 ,0.12 ,0.19 ,0.24 ,0.41 ,0.13 ,0.08 ,0.17 ,0.15 
O_CAG81,0.24 ,0.08 ,0.01 ,0.08 ,0.01 ,0.12 ,0.15 ,0.13 ,0.01 ,0.08 ,0.24 ,0.97 ,0.10 ,0.04 
O_CAG24,0.34 ,0.25 ,0.04 ,0.19 ,0.38 ,0.05 ,0.17 ,0.08 ,0.04 ,0.23 ,0.25 ,0.87 ,0.66 ,0.09 
O_CAG23,0.15 ,0.05 ,0.00 ,0.01 ,0.14 ,0.01 ,0.05 ,0.02 ,0.02 ,0.02 ,0.04 ,0.01 ,0.10 ,0.00 
O_CAG72,0.28 ,0.18 ,0.02 ,0.23 ,0.02 ,0.02 ,0.06 ,0.22 ,0.01 ,0.07 ,0.11 ,0.14 ,0.01 ,0.06 
O_CAG79,0.12 ,0.01 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.02 ,0.01 ,0.01 ,0.01 ,0.02 
O_CAG47,0.91 ,0.53 ,0.03 ,0.18 ,0.10 ,0.30 ,0.03 ,0.15 ,0.00 ,0.00 ,0.02 ,0.12 ,0.01 ,0.06 
O_CAG16,0.79 ,0.97 ,0.54 ,0.20 ,0.60 ,0.71 ,0.35 ,0.04 ,0.03 ,0.03 ,0.09 ,0.01 ,0.01 ,0.00 
O_CAG35,0.95 ,0.47 ,0.14 ,0.08 ,0.04 ,0.05 ,0.05 ,0.01 ,0.07 ,0.01 ,0.03 ,0.12 ,0.03 ,0.00 
O_CAG15,0.62 ,0.84 ,0.40 ,0.30 ,0.57 ,0.95 ,0.26 ,0.20 ,0.11 ,0.04 ,0.09 ,0.02 ,0.04 ,0.07 
O_CAG70,0.24 ,0.12 ,0.23 ,0.38 ,0.72 ,0.81 ,0.09 ,0.16 ,0.01 ,0.01 ,0.05 ,0.04 ,0.05 ,0.10 
O_CAG74,0.32 ,0.57 ,0.26 ,0.26 ,0.83 ,0.63 ,0.14 ,0.30 ,0.06 ,0.02 ,0.08 ,0.15 ,0.09 ,0.08 
O_CAG13,0.13 ,0.86 ,0.30 ,0.16 ,0.18 ,0.45 ,0.07 ,0.02 ,0.08 ,0.07 ,0.08 ,0.01 ,0.00 ,0.00 
O_CAG52,0.31 ,0.99 ,0.11 ,0.41 ,0.17 ,0.25 ,0.56 ,0.35 ,0.09 ,0.23 ,0.12 ,0.11 ,0.03 ,0.02 
O_CAG67,0.01 ,0.06 ,0.06 ,0.06 ,0.03 ,0.18 ,0.94 ,0.91 ,0.29 ,0.15 ,0.20 ,0.66 ,0.21 ,0.05 
O_CAG20,0.17 ,0.90 ,0.36 ,0.61 ,0.96 ,0.19 ,0.12 ,0.45 ,0.23 ,0.99 ,0.32 ,0.88 ,0.46 ,0.07 
O_CAG68,0.20 ,0.05 ,0.05 ,0.03 ,0.00 ,0.00 ,0.00 ,0.02 ,0.00 ,0.04 ,0.00 ,0.03 ,0.07 ,0.03 
O_CAG38,0.85 ,0.38 ,0.51 ,0.00 ,0.02 ,0.01 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
O_CAG37,0.83 ,0.09 ,0.01 ,0.00 ,0.00 ,0.00 ,0.04 ,0.03 ,0.01 ,0.01 ,0.00 ,0.01 ,0.04 ,0.01 
O_CAG39,0.92 ,0.06 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
