CAG,dayD14,dayD15,dayD16,dayD17,dayD18,dayD19,dayD20,dayD21,dayD22,dayD23,dayD24,dayD25,dayD26,dayD27
T_CAG2,0.13 ,0.00 ,0.02 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.00 ,0.00 ,0.00 
T_CAG19,0.98 ,0.67 ,0.01 ,0.06 ,0.08 ,0.07 ,0.03 ,0.10 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 
T_CAG46,0.11 ,0.86 ,0.80 ,0.02 ,0.07 ,0.00 ,0.05 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
T_CAG47,0.02 ,0.27 ,0.03 ,0.01 ,0.00 ,0.00 ,0.40 ,0.03 ,0.01 ,0.07 ,0.00 ,0.00 ,0.09 ,0.01 
T_CAG75,0.41 ,0.00 ,0.00 ,0.01 ,0.04 ,0.00 ,0.00 ,0.00 ,0.01 ,0.09 ,0.08 ,0.03 ,0.00 ,0.00 
T_CAG20,0.63 ,0.25 ,0.01 ,0.08 ,0.14 ,0.22 ,0.00 ,0.01 ,0.01 ,0.00 ,0.01 ,0.01 ,0.00 ,0.01 
T_CAG3,0.15 ,0.24 ,0.27 ,0.47 ,0.75 ,0.46 ,0.01 ,0.01 ,0.01 ,0.24 ,0.49 ,0.05 ,0.01 ,0.07 
T_CAG56,0.24 ,0.35 ,0.11 ,0.27 ,0.39 ,0.40 ,0.42 ,0.09 ,0.08 ,0.03 ,0.02 ,0.08 ,0.79 ,0.23 
T_CAG6,0.52 ,0.75 ,0.55 ,0.10 ,0.27 ,0.25 ,0.31 ,0.05 ,0.82 ,0.43 ,0.95 ,0.85 ,0.16 ,0.72 
T_CAG18,0.33 ,0.58 ,0.04 ,0.20 ,0.42 ,0.18 ,0.01 ,0.05 ,0.03 ,0.00 ,0.02 ,0.04 ,0.16 ,0.04 
T_CAG17,0.56 ,0.22 ,0.07 ,0.27 ,0.50 ,0.48 ,0.05 ,0.40 ,0.41 ,0.08 ,0.39 ,0.43 ,0.46 ,0.50 
T_CAG50,0.05 ,0.06 ,0.70 ,0.46 ,0.84 ,0.85 ,0.95 ,0.91 ,0.10 ,0.16 ,0.02 ,0.46 ,0.24 ,0.99 
T_CAG21,0.74 ,0.71 ,1.00 ,0.78 ,0.96 ,0.62 ,0.02 ,0.02 ,0.19 ,0.03 ,0.68 ,0.09 ,0.01 ,0.14 
T_CAG15,0.65 ,0.53 ,0.62 ,0.69 ,0.12 ,0.04 ,0.59 ,0.61 ,0.08 ,0.22 ,0.52 ,0.21 ,0.05 ,0.15 
T_CAG4,0.21 ,0.21 ,0.80 ,0.89 ,0.53 ,0.99 ,0.58 ,0.63 ,0.66 ,0.53 ,0.86 ,0.77 ,0.05 ,0.15 
T_CAG1,0.52 ,0.03 ,0.54 ,0.93 ,0.71 ,0.43 ,0.01 ,0.00 ,0.02 ,0.07 ,0.15 ,0.07 ,0.00 ,0.00 
T_CAG7,0.35 ,0.22 ,0.86 ,0.88 ,0.97 ,0.54 ,0.07 ,0.02 ,0.42 ,0.13 ,0.20 ,0.33 ,0.03 ,0.02 
T_CAG5,0.73 ,0.67 ,0.39 ,0.63 ,0.94 ,0.91 ,0.64 ,0.31 ,0.57 ,0.34 ,0.92 ,0.83 ,0.27 ,0.39 
T_CAG22,0.28 ,0.67 ,0.02 ,0.01 ,0.02 ,0.01 ,0.05 ,0.25 ,0.12 ,0.10 ,0.73 ,0.03 ,0.03 ,0.00 
T_CAG23,0.68 ,0.63 ,0.33 ,0.06 ,0.45 ,0.08 ,0.83 ,0.86 ,0.25 ,0.21 ,0.72 ,0.18 ,0.16 ,0.03 
T_CAG42,0.34 ,0.39 ,0.87 ,0.32 ,0.59 ,0.14 ,0.60 ,0.76 ,0.42 ,0.25 ,0.06 ,0.23 ,0.15 ,0.03 
T_CAG49,0.17 ,0.93 ,0.08 ,0.03 ,0.06 ,0.05 ,0.02 ,0.00 ,0.00 ,0.00 ,0.07 ,0.01 ,0.00 ,0.00 
T_CAG16,0.36 ,0.34 ,0.11 ,0.25 ,0.45 ,0.05 ,0.02 ,0.04 ,0.01 ,0.00 ,0.05 ,0.01 ,0.00 ,0.00 
T_CAG66,0.44 ,0.89 ,0.38 ,0.88 ,0.57 ,0.88 ,0.16 ,0.62 ,0.59 ,0.27 ,0.81 ,0.59 ,0.08 ,0.70 
T_CAG74,0.15 ,0.94 ,0.07 ,0.62 ,0.04 ,0.39 ,0.07 ,0.00 ,0.21 ,0.12 ,0.38 ,0.38 ,0.11 ,0.05 
T_CAG73,0.83 ,0.72 ,0.97 ,0.36 ,0.38 ,0.03 ,0.59 ,0.63 ,0.15 ,0.01 ,0.48 ,0.57 ,0.65 ,0.08 
T_CAG61,0.00 ,0.19 ,0.80 ,0.10 ,0.00 ,0.00 ,0.06 ,0.01 ,0.03 ,0.31 ,0.22 ,0.71 ,0.33 ,0.71 
T_CAG58,0.43 ,0.44 ,0.01 ,0.02 ,0.50 ,0.09 ,0.08 ,0.01 ,0.06 ,0.01 ,0.32 ,0.50 ,0.11 ,0.55 
T_CAG70,0.21 ,0.80 ,0.21 ,0.14 ,0.42 ,0.10 ,0.08 ,0.19 ,0.41 ,0.02 ,0.59 ,0.58 ,0.32 ,0.95 
T_CAG77,0.33 ,0.81 ,0.56 ,0.69 ,0.28 ,0.02 ,0.77 ,0.89 ,0.10 ,0.99 ,0.02 ,0.04 ,0.11 ,0.77 
T_CAG72,0.02 ,0.19 ,0.14 ,0.07 ,0.49 ,0.87 ,0.12 ,0.23 ,0.95 ,0.95 ,0.70 ,0.01 ,0.89 ,0.52 
T_CAG39,0.04 ,0.05 ,0.56 ,0.48 ,0.40 ,0.92 ,0.56 ,0.22 ,0.95 ,0.81 ,0.80 ,0.23 ,0.49 ,0.81 
T_CAG63,0.63 ,0.92 ,0.92 ,0.78 ,0.98 ,0.45 ,0.58 ,0.61 ,0.14 ,0.55 ,0.66 ,0.73 ,0.28 ,0.33 
T_CAG27,0.47 ,0.97 ,0.83 ,0.99 ,0.78 ,0.70 ,0.69 ,0.62 ,0.76 ,0.38 ,0.70 ,0.80 ,0.11 ,0.04 
