CAG,Nor_mean,dayD14,dayD15,dayD16,dayD17,dayD18,dayD19,dayD20,dayD21,dayD22,dayD23,dayD24,dayD25,dayD26,dayD27,Group
T_CAG2,0.00 ,-1.06 ,-2.15 ,-1.68 ,-1.85 ,-1.97 ,-1.98 ,-3.42 ,-3.63 ,-3.05 ,-2.84 ,-1.76 ,-2.25 ,-3.31 ,-3.38 ,A
T_CAG19,0.00 ,-0.02 ,-0.36 ,-2.50 ,-1.68 ,-1.72 ,-1.49 ,-2.09 ,-1.48 ,-2.21 ,-2.93 ,-2.40 ,-2.38 ,-2.70 ,-3.13 ,A
T_CAG46,0.00 ,-1.23 ,-0.12 ,-0.19 ,-1.69 ,-1.49 ,-2.07 ,-1.53 ,-2.08 ,-1.98 ,-2.31 ,-2.09 ,-2.64 ,-3.22 ,-3.11 ,A
T_CAG47,0.00 ,-2.38 ,-1.03 ,-2.29 ,-2.44 ,-4.07 ,-2.98 ,-0.86 ,-2.11 ,-2.51 ,-1.85 ,-2.89 ,-2.90 ,-1.75 ,-2.82 ,A
T_CAG75,0.00 ,-0.69 ,-3.77 ,-3.00 ,-2.13 ,-1.79 ,-2.44 ,-3.26 ,-2.64 ,-1.89 ,-1.40 ,-1.32 ,-1.80 ,-2.57 ,-2.94 ,A
T_CAG20,0.00 ,0.38 ,-0.83 ,-2.16 ,-1.32 ,-1.26 ,-0.86 ,-2.98 ,-2.04 ,-1.94 ,-2.80 ,-1.96 ,-2.00 ,-2.88 ,-2.20 ,A
T_CAG3,0.00 ,-1.71 ,-1.27 ,-1.30 ,-0.81 ,-0.40 ,-0.76 ,-3.12 ,-2.93 ,-2.57 ,-1.37 ,-0.75 ,-2.17 ,-3.04 ,-2.12 ,A
T_CAG56,0.00 ,-1.37 ,1.00 ,-1.85 ,-1.23 ,-1.06 ,-0.86 ,-0.94 ,-1.92 ,-1.83 ,-2.50 ,-2.45 ,-1.95 ,0.31 ,-1.40 ,B
T_CAG6,0.00 ,-0.67 ,-0.30 ,0.61 ,1.66 ,1.22 ,1.06 ,-1.05 ,-1.95 ,0.20 ,-0.82 ,-0.06 ,0.18 ,-1.47 ,-0.37 ,B
T_CAG18,0.00 ,0.79 ,0.41 ,-1.63 ,-0.99 ,-0.69 ,-0.96 ,-2.21 ,-1.53 ,-1.61 ,-3.06 ,-1.78 ,-1.56 ,-1.15 ,-1.69 ,B
T_CAG17,0.00 ,0.88 ,-1.73 ,-2.78 ,-1.59 ,-1.09 ,-0.94 ,-3.02 ,-1.23 ,-1.11 ,-2.65 ,-1.19 ,-1.14 ,-1.12 ,-1.03 ,B
T_CAG50,0.00 ,-2.53 ,-2.25 ,-0.49 ,-0.90 ,-0.28 ,-0.22 ,-0.07 ,-0.14 ,-1.87 ,-1.83 ,-2.85 ,-0.89 ,-1.50 ,-0.01 ,B
T_CAG21,0.00 ,0.30 ,-0.31 ,0.00 ,0.24 ,0.04 ,0.40 ,-2.15 ,-2.12 ,-1.05 ,-1.93 ,-0.34 ,-1.45 ,-2.29 ,-1.32 ,B
T_CAG15,0.00 ,0.52 ,0.65 ,0.57 ,-0.43 ,-1.90 ,-2.08 ,-0.62 ,-0.55 ,-1.80 ,-1.39 ,-0.67 ,-1.37 ,-2.28 ,-1.66 ,B
T_CAG4,0.00 ,-1.67 ,-1.54 ,-0.35 ,0.17 ,0.89 ,-0.01 ,-0.75 ,-0.62 ,-0.53 ,0.84 ,-0.21 ,-0.37 ,-2.67 ,-1.95 ,C
T_CAG1,0.00 ,-0.57 ,-1.74 ,-0.53 ,-0.07 ,-0.34 ,-0.60 ,-2.27 ,-2.44 ,-1.80 ,-1.62 ,-1.17 ,-1.53 ,-3.06 ,-2.84 ,C
T_CAG7,0.00 ,-1.11 ,-1.35 ,0.21 ,-0.18 ,-0.05 ,-0.64 ,-2.17 ,-2.68 ,-0.86 ,-1.80 ,-1.41 ,-1.10 ,-2.56 ,-2.73 ,C
T_CAG5,0.00 ,-0.80 ,-0.93 ,-2.04 ,-1.07 ,-0.18 ,-0.23 ,-1.09 ,-2.31 ,-1.19 ,-2.24 ,0.22 ,0.48 ,-2.62 ,-2.04 ,C
T_CAG22,0.00 ,-1.17 ,-0.42 ,-2.51 ,-2.70 ,-2.72 ,-2.45 ,-2.12 ,-1.20 ,-1.51 ,-1.79 ,-0.34 ,-2.29 ,-2.38 ,-3.42 ,C
T_CAG23,0.00 ,-0.61 ,-0.66 ,-1.46 ,-2.70 ,-1.20 ,-2.33 ,-0.33 ,-0.26 ,-1.53 ,-1.91 ,-0.49 ,-1.95 ,-2.14 ,-3.37 ,C
T_CAG42,0.00 ,-1.07 ,0.87 ,0.18 ,-1.06 ,0.63 ,-1.45 ,0.58 ,-0.32 ,-0.79 ,-1.27 ,-1.91 ,-1.28 ,-1.60 ,-2.42 ,C
T_CAG49,0.00 ,0.86 ,-0.05 ,-1.12 ,-1.29 ,-1.26 ,-1.11 ,-1.52 ,-1.83 ,-1.87 ,-2.39 ,-1.04 ,-1.55 ,-2.62 ,-2.82 ,C
T_CAG16,0.00 ,0.71 ,-0.67 ,-1.23 ,-0.84 ,-0.61 ,-1.32 ,-1.84 ,-1.51 ,-1.73 ,-2.98 ,-1.38 ,-2.05 ,-2.29 ,-2.84 ,C
T_CAG66,0.00 ,-1.18 ,-0.19 ,-1.32 ,0.22 ,-0.92 ,0.21 ,-2.16 ,0.71 ,-0.73 ,-1.68 ,-0.33 ,-0.77 ,-2.71 ,0.59 ,C
T_CAG74,0.00 ,-1.34 ,-0.06 ,-1.68 ,-0.44 ,-2.09 ,0.70 ,-1.70 ,-2.56 ,-1.04 ,-1.45 ,0.75 ,-0.78 ,-1.50 ,-1.82 ,C
T_CAG73,0.00 ,0.25 ,-0.38 ,0.05 ,-1.03 ,-1.08 ,-2.32 ,0.63 ,-0.54 ,-1.50 ,-2.96 ,-0.76 ,-0.64 ,-0.53 ,-2.06 ,C
T_CAG61,0.00 ,-2.44 ,0.89 ,-0.18 ,-1.17 ,-2.39 ,-2.20 ,-1.41 ,-1.81 ,-1.43 ,-0.76 ,-0.83 ,-0.26 ,-0.73 ,0.27 ,D
T_CAG58,0.00 ,0.59 ,-0.53 ,-2.01 ,-1.68 ,-0.54 ,-1.13 ,-1.32 ,-1.88 ,-1.28 ,-1.99 ,-0.69 ,0.49 ,1.23 ,-0.45 ,D
T_CAG70,0.00 ,1.27 ,-0.24 ,-1.27 ,-1.41 ,-0.87 ,-1.48 ,-1.78 ,-1.27 ,-0.74 ,-2.46 ,-0.50 ,-0.53 ,1.00 ,-0.06 ,D
T_CAG77,0.00 ,-0.81 ,0.18 ,0.48 ,-0.31 ,-0.95 ,-1.79 ,0.24 ,0.11 ,-1.23 ,-0.01 ,-1.81 ,1.62 ,1.34 ,0.25 ,D
T_CAG72,0.00 ,-1.94 ,-1.02 ,-1.27 ,-1.48 ,-0.62 ,-0.12 ,-1.33 ,-0.97 ,0.05 ,0.06 ,0.30 ,2.04 ,-0.11 ,0.55 ,D
T_CAG39,0.00 ,-2.24 ,-1.98 ,-0.64 ,0.74 ,0.97 ,-0.09 ,-0.64 ,-1.28 ,0.06 ,0.26 ,-0.25 ,1.26 ,-0.76 ,0.26 ,D
T_CAG63,0.00 ,-0.75 ,0.15 ,0.15 ,-0.41 ,-0.03 ,-1.04 ,0.87 ,-0.76 ,-2.05 ,-0.93 ,0.62 ,0.52 ,1.69 ,1.50 ,D
T_CAG27,0.00 ,-0.91 ,0.04 ,0.27 ,0.02 ,0.38 ,-0.42 ,-0.49 ,-0.60 ,-0.33 ,1.10 ,-0.44 ,-0.31 ,2.04 ,2.65 ,D
T_CAG59,0.00 ,-0.36 ,-1.02 ,-1.42 ,-0.38 ,-0.55 ,-0.39 ,-0.24 ,-0.34 ,-0.14 ,-0.57 ,0.16 ,1.48 ,2.47 ,1.18 ,D
T_CAG69,0.00 ,-1.31 ,-0.52 ,-0.02 ,0.79 ,0.05 ,-0.67 ,0.57 ,-0.35 ,-1.17 ,-1.11 ,-0.28 ,1.95 ,1.56 ,1.28 ,D
T_CAG8,0.00 ,2.06 ,3.76 ,3.53 ,2.06 ,1.86 ,0.55 ,1.68 ,2.37 ,1.50 ,0.77 ,1.92 ,1.91 ,2.03 ,1.00 ,E
T_CAG40,0.00 ,-1.02 ,0.39 ,1.25 ,2.25 ,2.31 ,2.20 ,2.02 ,1.40 ,1.67 ,2.25 ,2.30 ,2.41 ,1.36 ,1.30 ,E
T_CAG32,0.00 ,-1.51 ,-0.31 ,1.04 ,1.29 ,1.14 ,1.24 ,2.09 ,1.64 ,1.27 ,1.90 ,2.05 ,1.20 ,1.45 ,2.06 ,E
