Sub,group,ClusterA,ClusterB,ClusterC,ClusterD,ClusterE,ClusterF,ClusterG,ClusterH
K00882 1-phosphofructokinase,O,-0.95 ,-0.59 ,0.14 ,0.30 ,1.05 ,1.75 ,-0.94 ,-0.77 
K02757 beta-glucoside-specific IICBA component,O,-0.66 ,-0.81 ,0.31 ,1.95 ,0.76 ,-0.60 ,-1.03 ,0.08 
K02770 fructose-specific IIBC or IIC component,O,-0.45 ,-0.69 ,0.58 ,0.74 ,1.61 ,0.17 ,-1.64 ,-0.32 
K02775 galactitol-specific IIC component,O,1.09 ,0.48 ,1.15 ,-1.33 ,0.52 ,-0.78 ,-1.27 ,0.13 
K02777 sugar-specific IIA component,O,-1.06 ,-1.16 ,0.40 ,1.51 ,0.62 ,0.70 ,-1.10 ,0.08 
K02784 phosphocarrier protein HPr,O,-0.36 ,-0.55 ,0.05 ,0.15 ,1.54 ,1.18 ,-0.40 ,-1.62 
K02804 N-acetylglucosamine-specific IICBA or IICB component,O,-0.44 ,-0.86 ,0.94 ,0.88 ,0.89 ,0.92 ,-1.02 ,-1.31 
K02806 nitrogen-specific IIA component,O,1.04 ,0.64 ,1.76 ,-0.61 ,-0.63 ,-0.73 ,-0.73 ,-0.73 
K08483 phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I),O,-0.28 ,-0.36 ,-0.45 ,0.55 ,1.23 ,1.46 ,-0.65 ,-1.50 
"K08484 phosphotransferase system, enzyme I, PtsP",O,0.88 ,-0.51 ,2.17 ,-0.51 ,-0.51 ,-0.51 ,-0.51 ,-0.51 
K11183 multiphosphoryl transfer protein,O,0.06 ,-0.52 ,2.36 ,-0.52 ,-0.52 ,-0.52 ,-0.52 ,0.19 
K11192 N-acetylmuramic acid-specific IICB component,O,0.63 ,-0.49 ,2.28 ,-0.49 ,-0.49 ,-0.49 ,-0.49 ,-0.49 
K20118 glucose-specific IICBA or IICB component,O,-0.72 ,0.21 ,-0.79 ,-0.29 ,2.03 ,0.15 ,-1.13 ,0.55 
