"Sub","group","mw_up_down","mw_up_no","mw_down_no","increased_cluster_mean","decreased_cluster_mean","unchanged_cluster_mean"
"K00882","O",0.0435,0.0255,0.7735,0.0649,0.0431,0.0372
"K02757","O",0.0033,0.0598,0.8576,0.0563,0.0242,0.0166
"K02770","O",0.1302,0.0139,0.1068,0.0749,0.0507,0.0265
"K02775","O",0.0032,0.8501,0.1463,0.0091,0.0228,0.007
"K02777","O",0.0208,0.2102,0.7649,0.0331,0.0112,0.0095
"K02784","O",0.0054,6e-04,0.5542,0.2349,0.1522,0.1077
"K02804","O",0.1665,0.0139,0.0843,0.0358,0.0222,0.0052
"K02806","O",0.0114,0.5681,0.1454,4e-04,0.0098,0
"K08483","O",3e-04,0.001,0.3607,0.1023,0.0649,0.0482
"K08484","O",0.0348,NA,0.3786,0,0.0028,0
"K11183","O",0.014,0.0219,0.8789,0,0.0046,9e-04
"K11192","O",0.0348,NA,0.3786,0,0.0019,0
"K20118","O",0.0051,0.156,0.835,0.0299,0.0147,0.0158
