Fig 4A,,,,,
pairs1,pairs2,F.Model,R2,p.value,p.adjusted
T_Fiber_Low,O_Fiber_Low,2.87,0.03,0,0
T_Fiber_Low,T_Fiber_High,2.61,0.03,0,0
T_Fiber_Low,O_Fiber_High,6.01,0.06,0,0
T_Fiber_Low,O_Follow_up,4.1,0.07,0,0
T_Fiber_Low,T_Follow_up,1.77,0.03,0.01,0.01
T_Fiber_Low,T_Normal,3.19,0.02,0,0
T_Fiber_Low,O_Normal,5.56,0.03,0,0
O_Fiber_Low,T_Fiber_High,4.2,0.04,0,0
O_Fiber_Low,O_Fiber_High,3.41,0.03,0,0
O_Fiber_Low,O_Follow_up,3.23,0.05,0,0
O_Fiber_Low,T_Follow_up,2.27,0.04,0.01,0.01
O_Fiber_Low,T_Normal,6.26,0.04,0,0
O_Fiber_Low,O_Normal,3.69,0.02,0,0
T_Fiber_High,O_Fiber_High,3.87,0.04,0,0
T_Fiber_High,O_Follow_up,3.87,0.06,0,0
T_Fiber_High,T_Follow_up,1.93,0.03,0.01,0.01
T_Fiber_High,T_Normal,6.41,0.04,0,0
T_Fiber_High,O_Normal,8.64,0.05,0,0
O_Fiber_High,O_Follow_up,3.02,0.05,0,0
O_Fiber_High,T_Follow_up,3.07,0.05,0,0
O_Fiber_High,T_Normal,10.97,0.07,0,0
O_Fiber_High,O_Normal,8.08,0.05,0,0
O_Follow_up,T_Follow_up,1.84,0.09,0.01,0.01
O_Follow_up,T_Normal,3.64,0.03,0,0
O_Follow_up,O_Normal,2.85,0.02,0,0
T_Follow_up,T_Normal,1.38,0.01,0.08,0.08
T_Follow_up,O_Normal,1.95,0.02,0.01,0.01
T_Normal,O_Normal,4.61,0.02,0,0
