subject,Day0_27,PC3,PC4
O01,D0,2.2,1.91
O02,D0,-0.55,3.3
O03,D0,4.4,7.62
O04,D0,-3,6.57
O05,D0,-6.73,4.45
O06,D0,3.04,-0.82
O07,D0,-4.1,6.89
O08,D0,-0.8,10.54
O09,D0,3.92,4.92
O10,D0,7.85,-0.51
T01,D0,1.05,1.39
T02,D0,5.27,0.24
T03,D0,3.99,-1.48
T04,D0,1.57,0.89
T05,D0,8.65,-1.18
T06,D0,-0.2,4.62
T07,D0,-4.5,7.66
T08,D0,3.5,1.89
O01,D1,4.21,1.91
O02,D1,1.11,2.59
O03,D1,3.31,3.93
O06,D1,3.39,-1.1
O07,D1,2.9,4.58
O08,D1,-1.63,5.77
O09,D1,-0.24,5.13
O10,D1,2.42,-2.16
T01,D1,7.8,0.81
T02,D1,4.81,-1.32
T04,D1,2.53,-3.99
T05,D1,6.86,2.81
T06,D1,0.27,0.04
T07,D1,4.94,5.12
T08,D1,4.4,2.14
T09,D1,-0.42,-0.83
O01,D2,3.69,3.91
O02,D2,3.73,2.24
O03,D2,0.3,4.4
O05,D2,2.83,2.17
O07,D2,-1.57,4.62
O08,D2,-2.61,6.98
O09,D2,-12.16,6.82
O10,D2,0.72,-0.79
T01,D2,5.11,0.05
T02,D2,6.55,-2.56
T03,D2,3.19,4.13
T05,D2,5.98,3.49
T06,D2,0.7,3.68
T07,D2,1.82,5.69
O01,D3,4.4,2.79
O02,D3,-6.47,1.26
O03,D3,7.38,2.53
O06,D3,-1.94,2.34
O07,D3,-1.46,1.91
O08,D3,-2.63,6.37
O09,D3,-0.74,4.74
O10,D3,4.07,1.37
T01,D3,-1.74,1.17
T03,D3,5.56,-0.28
T04,D3,0.57,0.7
T06,D3,-0.42,6.3
T07,D3,2.28,7.83
T08,D3,4.01,3.11
O01,D4,4.47,4.82
O02,D4,-4.4,2.72
O03,D4,5.15,5.9
O04,D4,1.45,5.69
O06,D4,-2.74,2.59
O07,D4,0.76,3.08
O08,D4,1.58,5.49
O09,D4,-0.71,4.91
T01,D4,2.56,6.72
T02,D4,4.19,-0.02
T03,D4,7.82,-0.88
T05,D4,7.85,-2.87
T06,D4,-5.49,2.52
T07,D4,-1.31,10.81
T08,D4,1.84,5.58
T09,D4,-6.21,0.93
O01,D5,3.84,2.82
O02,D5,-0.77,2.26
O03,D5,6.75,4.35
O06,D5,-1.1,3.27
O07,D5,-0.83,3.06
O08,D5,2.09,6.52
O09,D5,1.07,4.53
O10,D5,0.2,0.89
T01,D5,4.29,2.9
T02,D5,4.12,1.53
T04,D5,2.74,-2.18
T05,D5,9.54,-2.94
T06,D5,0.06,0.42
T07,D5,2.25,7.69
T08,D5,0.8,1.65
O01,D6,-2.8,6.31
O02,D6,-2.44,1.33
O03,D6,8.2,3.08
O05,D6,2.58,5.89
O06,D6,3.59,0.68
O09,D6,-0.35,4.51
O10,D6,4.94,-1.88
T01,D6,3.28,0.38
T02,D6,8.49,-1.43
T03,D6,5.62,-2.82
T04,D6,1.99,-3.05
T05,D6,2.76,0.71
T06,D6,1.24,3.32
T07,D6,-8.31,10.2
T09,D6,1.26,0.11
O01,D7,3.99,2.53
O02,D7,-14.73,5.1
O06,D7,3.36,-2.13
O07,D7,0.94,6.71
O08,D7,-0.92,3.2
O09,D7,2.51,3.77
O10,D7,-1.62,1.67
T01,D7,3.63,3.64
T02,D7,6.31,-2.25
T03,D7,5.82,-1.4
T04,D7,3.04,-3.04
T05,D7,3.29,0.25
T06,D7,0.82,3.95
T07,D7,2.32,7.02
T08,D7,0.94,4.25
T09,D7,2.77,0.04
O01,D8,0.03,3.03
O02,D8,-5.61,1.63
O03,D8,4.14,1.76
O05,D8,0.67,2.79
O06,D8,1.89,-0.71
O07,D8,-4.65,5.85
O08,D8,-1.02,3.92
O09,D8,-1.39,5.27
O10,D8,0.58,1.25
T01,D8,-5.39,2.43
T02,D8,3.54,3.52
T03,D8,4.09,0.61
T04,D8,0.91,-0.29
T05,D8,7.88,-2.76
T06,D8,2.72,0.66
T07,D8,3.65,2.62
T08,D8,-1.42,3.73
T09,D8,-5.81,2.86
O01,D9,3.99,2.86
O02,D9,-6.45,2.57
O03,D9,7.04,4.06
O06,D9,1.6,1.15
O07,D9,-2.88,7.98
O08,D9,0.01,3.94
O09,D9,2.19,3.75
T01,D9,-0.23,-1.17
T02,D9,7.3,-0.65
T03,D9,3.99,0.24
T04,D9,-3.19,1.42
T05,D9,6.62,-3
T06,D9,-2.48,3.94
T07,D9,-0.4,7.54
O01,D10,0.96,5.71
O02,D10,-2.19,0.29
O03,D10,5.24,1.94
O04,D10,-0.35,6.01
O08,D10,0.09,4.23
O09,D10,-3.72,3.87
O10,D10,1.97,-1.12
T01,D10,-3.67,1.06
T02,D10,4.93,3.17
T03,D10,6.82,1.58
T04,D10,4.64,-3.66
T05,D10,5.69,-0.63
T06,D10,1.55,2.97
T08,D10,-0.46,8.02
O01,D11,2.24,2.24
O02,D11,-0.36,0.92
O03,D11,5.56,4.7
O04,D11,0.07,0.67
O06,D11,2.58,-3
O07,D11,0.74,5.13
O08,D11,1.2,4.76
O09,D11,1.87,2.9
T01,D11,0.83,-2.88
T03,D11,2.25,1.73
T04,D11,4.15,-3.39
T05,D11,9.15,-2.78
T06,D11,0.63,1.72
T07,D11,-0.04,1.38
T09,D11,0.35,0.51
O01,D12,3.3,3.96
O02,D12,1.21,4.46
O03,D12,8.53,4.85
O06,D12,-1.96,0.08
O07,D12,1.18,4.01
O08,D12,-1.42,5.38
O09,D12,1.59,1.31
T01,D12,-1.27,0.3
T02,D12,5.75,-2.66
T04,D12,-1.06,-1.62
T05,D12,6.08,-3.24
T06,D12,-0.23,-0.73
T07,D12,3.63,5.72
T08,D12,1.24,5.19
O01,D13,2.59,2.57
O02,D13,3.52,1.42
O03,D13,3.83,4.09
O04,D13,0.37,4.01
O07,D13,1.04,4.69
O09,D13,2.64,5.63
O10,D13,4.57,-1.52
T01,D13,6.08,0.12
T02,D13,1.9,6.49
T03,D13,6.17,-0.78
T04,D13,2.57,-1.55
T05,D13,3.08,-1.87
T06,D13,-3.08,0.52
T09,D13,-1.12,1.64
O01,D14,3,1.49
O02,D14,-0.23,3.59
O03,D14,7.32,2.62
O05,D14,-7.2,5.86
O07,D14,2.83,2.18
O09,D14,-0.45,3.15
O10,D14,5.44,-3.04
T01,D14,3.01,-1.42
T03,D14,2.95,-0.72
T05,D14,5.57,-3.42
T06,D14,-2.67,-0.08
T07,D14,-4.36,3.75
T08,D14,2.09,2.35
O01,D15,0.97,-0.39
O02,D15,0.9,-1.77
O03,D15,2.89,-1.42
O06,D15,-0.15,-2.1
O07,D15,1.38,-2.73
O08,D15,-5.65,5.66
O09,D15,-5.98,1.93
O10,D15,2.39,-4.29
T01,D15,4.16,-3.21
T03,D15,4.53,-1.12
T04,D15,0.7,1.22
T05,D15,5.2,-0.22
T06,D15,-1.93,1.31
T07,D15,-0.1,-0.89
T08,D15,2.31,-2.27
T09,D15,-0.61,0.68
O01,D16,-3.42,0.47
O02,D16,-0.45,0.53
O03,D16,4.78,-2.97
O04,D16,-1.15,-1.32
O06,D16,-1.86,-3.56
O08,D16,-3.93,3.37
O09,D16,-5.55,2.45
T01,D16,0.27,-4.79
T03,D16,4.97,-2.78
T04,D16,1.58,-2.78
T05,D16,2.71,-4.11
T06,D16,0.58,-4.45
T07,D16,-6.14,1.81
O01,D17,1.07,-2.21
O02,D17,-0.8,-2.42
O03,D17,3.43,-1.52
O04,D17,-2.03,-3.75
O05,D17,-2.1,1.04
O06,D17,-4.95,-3.69
O07,D17,-1.85,-2.53
O08,D17,-1.75,0.57
O09,D17,-3.01,-0.39
O10,D17,2.85,-4.98
T01,D17,-0.4,-3.26
T02,D17,3.66,-5.68
