Item,Group,Day0_27,Mean_sem
PC3,O,D0,0.62¡À1.41
PC3,O,D1,1.93¡À0.71
PC3,O,D2,-0.63¡À1.84
PC3,O,D3,0.33¡À1.61
PC3,O,D4,0.69¡À1.16
PC3,O,D5,1.41¡À0.97
PC3,O,D6,1.96¡À1.53
PC3,O,D7,-0.92¡À2.43
PC3,O,D8,-0.60¡À1.02
PC3,O,D9,0.79¡À1.68
PC3,O,D10,0.29¡À1.10
PC3,O,D11,1.74¡À0.66
PC3,O,D12,1.77¡À1.32
PC3,O,D13,2.65¡À0.57
PC3,O,D14,1.53¡À1.80
PC3,O,D15,-0.41¡À1.23
PC3,O,D16,-1.65¡À1.26
PC3,O,D17,-0.91¡À0.83
PC3,O,D18,-0.51¡À1.23
PC3,O,D19,-1.90¡À1.86
PC3,O,D20,-3.15¡À1.13
PC3,O,D21,-2.58¡À1.91
PC3,O,D22,-6.51¡À1.17
PC3,O,D23,-4.75¡À1.48
PC3,O,D24,-5.34¡À1.28
PC3,O,D25,-4.03¡À0.52
PC3,O,D26,-4.66¡À1.43
PC3,O,D27,-4.22¡À0.67
PC3,O,D56,-2.57¡À1.12
PC3,T,D0,2.42¡À1.39
PC3,T,D1,3.90¡À1.03
PC3,T,D2,3.89¡À0.96
PC3,T,D3,1.71¡À1.13
PC3,T,D4,1.41¡À1.91
PC3,T,D5,3.40¡À1.18
PC3,T,D6,2.04¡À1.72
PC3,T,D7,3.22¡À0.63
PC3,T,D8,1.13¡À1.52
PC3,T,D9,1.66¡À1.62
PC3,T,D10,2.79¡À1.44
PC3,T,D11,2.47¡À1.24
PC3,T,D12,2.02¡À1.19
PC3,T,D13,2.23¡À1.30
PC3,T,D14,1.10¡À1.55
PC3,T,D15,1.78¡À0.94
PC3,T,D16,0.66¡À1.53
PC3,T,D17,1.35¡À0.90
PC3,T,D18,-0.62¡À1.86
PC3,T,D19,-0.19¡À1.02
PC3,T,D20,-0.72¡À1.46
PC3,T,D21,-0.99¡À1.50
PC3,T,D22,-1.98¡À0.82
PC3,T,D23,-0.62¡À1.18
PC3,T,D24,-2.30¡À1.16
PC3,T,D25,-1.76¡À0.94
PC3,T,D26,-3.24¡À1.23
PC3,T,D27,-0.38¡À0.96
PC3,T,D56,1.33¡À1.47
