Item,Group,Day0_27,Mean_sem
PC4,O,D0,4.49¡À1.15
PC4,O,D1,2.58¡À1.03
PC4,O,D2,3.79¡À0.91
PC4,O,D3,2.91¡À0.63
PC4,O,D4,4.40¡À0.49
PC4,O,D5,3.46¡À0.60
PC4,O,D6,2.85¡À1.13
PC4,O,D7,2.98¡À1.06
PC4,O,D8,2.75¡À0.69
PC4,O,D9,3.76¡À0.80
PC4,O,D10,2.99¡À1.02
PC4,O,D11,2.29¡À0.97
PC4,O,D12,3.43¡À0.74
PC4,O,D13,2.98¡À0.91
PC4,O,D14,2.26¡À1.03
PC4,O,D15,-0.64¡À1.10
PC4,O,D16,-0.15¡À0.99
PC4,O,D17,-1.99¡À0.61
PC4,O,D18,-2.08¡À1.09
PC4,O,D19,-0.92¡À1.02
PC4,O,D20,-1.66¡À1.02
PC4,O,D21,-2.13¡À0.69
PC4,O,D22,-3.20¡À1.11
PC4,O,D23,-2.35¡À1.54
PC4,O,D24,-2.62¡À0.66
PC4,O,D25,-3.09¡À0.47
PC4,O,D26,-2.31¡À0.80
PC4,O,D27,-4.05¡À0.89
PC4,O,D56,3.02¡À0.93
PC4,T,D0,1.75¡À1.08
PC4,T,D1,0.60¡À0.99
PC4,T,D2,2.41¡À1.25
PC4,T,D3,3.14¡À1.34
PC4,T,D4,2.85¡À1.61
PC4,T,D5,1.30¡À1.33
PC4,T,D6,0.93¡À1.51
PC4,T,D7,1.38¡À1.15
PC4,T,D8,1.49¡À0.71
PC4,T,D9,1.19¡À1.34
PC4,T,D10,1.79¡À1.36
PC4,T,D11,-0.53¡À0.89
PC4,T,D12,0.42¡À1.37
PC4,T,D13,0.65¡À1.08
PC4,T,D14,0.08¡À1.06
PC4,T,D15,-0.56¡À0.58
PC4,T,D16,-2.85¡À0.99
PC4,T,D17,-3.35¡À1.06
PC4,T,D18,-2.74¡À0.93
PC4,T,D19,-3.79¡À0.89
PC4,T,D20,-4.17¡À1.00
PC4,T,D21,-4.51¡À1.17
PC4,T,D22,-4.05¡À0.57
PC4,T,D23,-5.86¡À0.41
PC4,T,D24,-4.98¡À1.10
PC4,T,D25,-5.26¡À0.71
PC4,T,D26,-4.52¡À1.23
PC4,T,D27,-5.15¡À0.92
PC4,T,D56,-0.16¡À1.03
