ID,pathway,period_compare_1,period_compare_2,enrichment_radio.x,Raw_p,total,expected,hits
T01,Histidine metabolism,Normal,High_dose,,,,,
T02,Histidine metabolism,Normal,High_dose,11.2994,0.0126,16,0.177,2
T03,Histidine metabolism,Normal,High_dose,,,,,
T04,Histidine metabolism,Normal,High_dose,7.4074,0.128,16,0.135,1
T05,Histidine metabolism,Normal,High_dose,,,,,
T06,Histidine metabolism,Normal,High_dose,3.8462,0.232,16,0.26,1
T07,Histidine metabolism,Normal,High_dose,15.1515,0.000813,16,0.198,3
T09,Histidine metabolism,Normal,High_dose,7.4074,0.128,16,0.135,1
T01,Pentose phosphate pathway,Normal,High_dose,11.6414,0.083,22,0.0859,1
T02,Pentose phosphate pathway,Normal,High_dose,,,,,
T03,Pentose phosphate pathway,Normal,High_dose,10,0.0962,22,0.1,1
T04,Pentose phosphate pathway,Normal,High_dose,5.3763,0.172,22,0.186,1
T05,Pentose phosphate pathway,Normal,High_dose,5.3763,0.172,22,0.186,1
T06,Pentose phosphate pathway,Normal,High_dose,2.7933,0.305,22,0.358,1
T07,Pentose phosphate pathway,Normal,High_dose,3.6765,0.241,22,0.272,1
T09,Pentose phosphate pathway,Normal,High_dose,10.7527,0.0139,22,0.186,2
T01,Steroid hormone biosynthesis,Normal,High_dose,,,,,
T02,Steroid hormone biosynthesis,Normal,High_dose,1.0627,0.622,85,0.941,1
T03,Steroid hormone biosynthesis,Normal,High_dose,,,,,
T04,Steroid hormone biosynthesis,Normal,High_dose,1.3908,0.524,85,0.719,1
T05,Steroid hormone biosynthesis,Normal,High_dose,1.3908,0.524,85,0.719,1
T06,Steroid hormone biosynthesis,Normal,High_dose,2.1739,0.157,85,1.38,3
T07,Steroid hormone biosynthesis,Normal,High_dose,0.9524,0.663,85,1.05,1
T09,Steroid hormone biosynthesis,Normal,High_dose,1.3908,0.524,85,0.719,1
T01,Vitamin B6 metabolism,Normal,High_dose,28.4091,0.0347,9,0.0352,1
T02,Vitamin B6 metabolism,Normal,High_dose,10.0402,0.0955,9,0.0996,1
T03,Vitamin B6 metabolism,Normal,High_dose,24.3902,0.0404,9,0.041,1
T04,Vitamin B6 metabolism,Normal,High_dose,13.1234,0.0738,9,0.0762,1
T05,Vitamin B6 metabolism,Normal,High_dose,13.1234,0.0738,9,0.0762,1
T06,Vitamin B6 metabolism,Normal,High_dose,6.8493,0.138,9,0.146,1
T07,Vitamin B6 metabolism,Normal,High_dose,9.009,0.106,9,0.111,1
