ID,Day0_27,O_CAG80_perc
O01,D0,0.027
O01,D1,0.026
O01,D2,0.024
O01,D3,0.03
O01,D4,0.025
O01,D5,0.033
O01,D6,0.028
O01,D7,0.029
O01,D8,0.026
O01,D9,0.031
O01,D10,0.03
O01,D11,0.054
O01,D12,0.055
O01,D13,0.034
O01,D14,0.033
O01,D15,0.04
O01,D16,0.078
O01,D17,0.069
O01,D18,0.063
O01,D19,0.113
O01,D20,0.082
O01,D21,0.078
O01,D22,0.091
O01,D23,0.045
O01,D24,0.076
O01,D25,0.078
O01,D26,0.089
O01,D27,0.09
O02,D0,0.01
O02,D1,0.012
O02,D2,0.012
O02,D3,0.013
O02,D4,0.007
O02,D5,0.008
O02,D6,0.013
O02,D7,0.008
O02,D8,0.007
O02,D9,0.004
O02,D10,0.006
O02,D11,0.006
O02,D12,0.004
O02,D13,0.008
O02,D14,0.014
O02,D15,0.011
O02,D16,0.026
O02,D17,0.033
O02,D18,0.017
O02,D19,0.014
O02,D20,0.018
O02,D21,0.007
O02,D22,0.029
O02,D23,0.028
O02,D24,0.027
O02,D25,0.011
O02,D26,0.028
O02,D27,0.017
O03,D0,0.011
O03,D1,0.008
O03,D2,0.007
O03,D3,0.008
O03,D4,0.011
O03,D5,0.017
O03,D6,0.013
O03,D8,0.008
O03,D9,0.007
O03,D10,0.009
O03,D11,0.011
O03,D12,0.018
O03,D13,0.01
O03,D14,0.015
O03,D15,0.053
O03,D16,0.075
O03,D17,0.042
O03,D18,0.09
O03,D19,0.074
O03,D20,0.15
O03,D21,0.081
O03,D22,0.059
O03,D23,0.083
O03,D24,0.056
O03,D25,0.095
O03,D26,0.088
O03,D27,0.05
O04,D0,0.025
O04,D4,0.036
O04,D10,0.029
O04,D11,0.023
O04,D13,0.031
O04,D16,0.229
O04,D17,0.345
O04,D27,0.146
O05,D0,0.208
O05,D2,0.896
O05,D6,0.536
O05,D8,1.638
O05,D14,1.618
O05,D17,1.59
O05,D20,6.366
O05,D22,5.686
O05,D24,1.241
O05,D27,0.531
O06,D0,5.584
O06,D1,7.274
O06,D3,3.372
O06,D4,3.391
O06,D5,0.686
O06,D6,1.398
O06,D7,2.139
O06,D8,5.307
O06,D9,7.85
O06,D11,4.265
O06,D12,3.912
O06,D15,6.581
O06,D16,9.028
O06,D17,11.221
O06,D20,9.057
O06,D22,9.821
O06,D26,0.03
O06,D27,7.518
O07,D0,0.099
O07,D1,0.096
O07,D2,0.075
O07,D3,0.081
O07,D4,0.12
O07,D5,0.164
O07,D7,0.134
O07,D8,0.084
O07,D9,0.06
O07,D11,0.219
O07,D12,0.088
O07,D13,0.097
O07,D14,0.077
O07,D15,0.214
O07,D17,0.588
O07,D18,0.224
O07,D19,0.529
O07,D20,0.426
O07,D21,0.179
O07,D22,0.289
O07,D24,0.261
O07,D25,0.217
O07,D26,0.225
O07,D27,0.383
O08,D0,0.021
O08,D1,0.016
O08,D2,0.012
O08,D3,0.013
O08,D4,0.014
O08,D5,0.013
O08,D7,0.01
O08,D8,0.02
O08,D9,0.024
O08,D10,0.024
O08,D11,0.019
O08,D12,0.016
O08,D15,0.028
O08,D16,0.041
O08,D17,0.046
O08,D18,0.041
O08,D19,0.031
O08,D20,0.043
O08,D21,0.039
O08,D23,0.013
O08,D24,0.043
O08,D25,0.027
O08,D26,3.902
O09,D0,0.009
O09,D1,0.012
O09,D2,0.008
O09,D3,0.013
O09,D4,0.011
O09,D5,0.015
O09,D6,0.006
O09,D7,0.007
O09,D8,0.007
O09,D9,0.01
O09,D10,0.008
O09,D11,0.013
O09,D12,0.009
O09,D13,0.016
O09,D14,0.021
O09,D15,0.017
O09,D16,0.012
O09,D17,0.018
O09,D18,0.021
O09,D19,0.015
O09,D20,0.02
O09,D22,0.009
O09,D23,0.034
O10,D0,0.011
O10,D1,0.007
O10,D2,0.014
O10,D3,0.009
O10,D5,0.008
O10,D6,0.01
O10,D7,0.009
O10,D8,0.012
O10,D10,0.011
O10,D13,0.023
O10,D14,0.018
O10,D15,0.024
O10,D17,0.013
O10,D18,0.026
O10,D20,0.012
O10,D22,0.033
O10,D23,0.028
O10,D24,0.041
O10,D25,0.038
O10,D26,0.036
