ID,Day0_27,T_CAG8_perc
T01,D0,0.421
T01,D1,0.58
T01,D2,0.528
T01,D3,0.429
T01,D4,0.504
T01,D5,0.572
T01,D6,1.275
T01,D7,0.579
T01,D8,0.536
T01,D9,1.015
T01,D10,1.21
T01,D11,1.021
T01,D12,1.255
T01,D13,0.839
T01,D14,1.288
T01,D15,1.469
T01,D16,1.783
T01,D17,1.743
T01,D18,1.296
T01,D19,1.078
T01,D20,1.504
T01,D21,1.653
T01,D22,1.246
T01,D23,1.436
T01,D24,0.887
T01,D25,1.006
T01,D26,0.714
T02,D0,0.168
T02,D1,0.211
T02,D2,0.175
T02,D4,0.109
T02,D5,0.056
T02,D6,0.118
T02,D7,0.486
T02,D8,0.055
T02,D9,0.104
T02,D10,0.075
T02,D12,0.236
T02,D13,0.086
T02,D17,0.348
T02,D19,0.716
T02,D21,0.503
T02,D22,0.606
T02,D23,0.543
T02,D24,0.812
T02,D25,0.85
T02,D26,1.179
T02,D27,0.736
T03,D0,0.228
T03,D2,0.318
T03,D3,0.187
T03,D4,0.268
T03,D6,0.341
T03,D7,0.358
T03,D8,0.475
T03,D9,0.427
T03,D10,0.433
T03,D11,0.448
T03,D13,0.418
T03,D14,0.375
T03,D15,0.503
T03,D16,0.471
T03,D17,0.453
T03,D18,0.269
T03,D19,0.361
T03,D21,0.386
T03,D22,0.414
T03,D23,0.462
T03,D25,0.328
T03,D27,0.279
T04,D0,0.136
T04,D1,0.127
T04,D3,0.077
T04,D5,0.167
T04,D6,0.169
T04,D7,0.242
T04,D8,0.238
T04,D9,0.208
T04,D10,0.118
T04,D11,0.172
T04,D12,0.259
T04,D13,0.284
T04,D15,0.345
T04,D16,0.103
T04,D17,0.119
T04,D19,0.109
T04,D20,0.206
T04,D21,0.356
T04,D22,0.221
T04,D24,0.128
T04,D25,0.248
T04,D26,0.257
T05,D0,0.152
T05,D1,0.317
T05,D2,0.297
T05,D4,0.536
T05,D5,0.465
T05,D6,0.309
T05,D7,0.33
T05,D8,0.491
T05,D9,0.545
T05,D10,0.616
T05,D11,0.462
T05,D12,0.484
T05,D13,0.596
T05,D14,0.802
T05,D15,1.109
T05,D16,1.232
T05,D17,0.616
T05,D18,1.027
T05,D19,0.45
T05,D20,1
T05,D21,0.776
T05,D22,0.502
T05,D23,0.501
T05,D24,1.014
T05,D25,0.752
T05,D26,0.741
T05,D27,0.803
T06,D0,0.015
T06,D1,0.018
T06,D2,0.027
T06,D3,0.02
T06,D4,0.007
T06,D5,0.02
T06,D6,0.023
T06,D7,0.015
T06,D8,0.037
T06,D9,0.009
T06,D10,0.058
T06,D11,0.023
T06,D12,0.022
T06,D13,0.03
T06,D14,0.025
T06,D15,0.037
T06,D16,0.041
T06,D17,0.051
T06,D18,0.024
T06,D19,0.02
T06,D20,0.013
T06,D21,0.027
T06,D22,0.016
T06,D23,0.021
T06,D24,0.019
T06,D25,0.024
T06,D26,0.019
T06,D27,0.014
T07,D0,0.478
T07,D1,0.399
T07,D2,0.627
T07,D3,0.325
T07,D4,0.632
T07,D5,0.644
T07,D6,0.887
T07,D7,0.483
T07,D8,0.378
T07,D9,0.569
T07,D11,1.053
T07,D12,1.223
T07,D14,0.904
T07,D15,4.035
T07,D16,2.677
T07,D17,1.431
T07,D18,1.157
T07,D19,1.531
T07,D20,1.207
T07,D21,0.928
T07,D22,0.975
T07,D23,0.484
T07,D24,1.046
T07,D25,0.955
T07,D26,1.193
T07,D27,0.963
T08,D0,0.215
T08,D1,0.199
T08,D3,0.313
T08,D4,0.404
T08,D5,0.421
T08,D7,0.345
T08,D8,0.434
T08,D10,0.437
T08,D12,0.488
T08,D14,0.458
T08,D15,0.392
T08,D19,0.237
T08,D22,0.236
T08,D24,0.237
T09,D0,0.108
T09,D4,0.065
T09,D6,0.128
T09,D7,0.125
T09,D8,0.145
T09,D11,0.091
T09,D13,0.109
T09,D15,0.073
T09,D19,0.051
T09,D20,0.094
T09,D22,0.187
T09,D24,0.281
T09,D27,0.106
