ID,Day0_27,Maleic acid_perc
T01,D0,0.130863844
T01,D1,0.04756036
T01,D2,0.060237872
T01,D3,0.034202884
T01,D4,0.983742451
T01,D5,0.024782147
T01,D6,0.02024167
T01,D7,0.004754589
T01,D8,0.085962174
T01,D9,0.003772017
T01,D10,0.058161751
T01,D11,0.058977599
T01,D12,0.038311612
T01,D13,0.182255178
T01,D14,0.515391904
T01,D15,0.168635086
T01,D16,0.067260642
T01,D17,0.371388263
T01,D18,0.265035463
T01,D19,0.298312764
T01,D20,0.51718936
T01,D21,0.134847905
T01,D22,0.951242338
T01,D23,0.37863265
T01,D24,0.56704215
T01,D25,1.399401699
T01,D26,0.360292095
T02,D0,0.025592635
T02,D1,0.083735348
T02,D2,0.086884642
T02,D4,0.064431686
T02,D5,0.036460631
T02,D6,0.118253259
T02,D7,0.064854365
T02,D8,0.125890887
T02,D9,0.108068893
T02,D10,0.049449134
T02,D12,0.36726638
T02,D13,0.087535358
T02,D17,1.060954541
T02,D19,1.297385017
T02,D21,2.161196529
T02,D22,2.957659494
T02,D23,3.304377217
T02,D24,2.599820986
T02,D25,4.803186567
T02,D26,3.874678318
T02,D27,2.141553539
T03,D0,0.0966579
T03,D2,0.120425048
T03,D3,0.08654285
T03,D4,0.035061643
T03,D6,0.032441583
T03,D7,0.08843793
T03,D8,0.049902573
T03,D9,0.052012527
T03,D10,0.08010251
T03,D11,0.035853572
T03,D13,0.069897641
T03,D14,0.076998728
T03,D15,0.052327853
T03,D16,0.206978973
T03,D17,0.504729037
T03,D18,0.859135384
T03,D19,0.537112833
T03,D21,1.151711517
T03,D22,0.664818179
T03,D23,0.473872545
T03,D25,1.244148922
T03,D27,0.995734768
T04,D0,0.039520868
T04,D1,0.027177026
T04,D3,0.031526237
T04,D5,0.020562649
T04,D6,0.053773285
T04,D7,0.027843896
T04,D8,0.219182495
T04,D9,0.044583427
T04,D10,0.156334505
T04,D11,0.167027513
T04,D12,0.655336394
T04,D13,0.904234407
T04,D15,0.209550958
T04,D16,0.309482638
T04,D17,0.236540175
T04,D19,0.550929812
T04,D20,0.432646183
T04,D21,0.297941312
T04,D22,3.00373469
T04,D24,1.111417397
T04,D25,1.000038521
T04,D26,3.403365282
T05,D0,0.027075329
T05,D1,0.024505809
T05,D2,0.04552137
T05,D4,0.101241863
T05,D5,0.036125063
T05,D6,0.005197344
T05,D7,0.128342334
T05,D8,0.098781246
T05,D9,0.047862816
T05,D10,0.28206738
T05,D11,0.054683611
T05,D12,0.158712036
T05,D13,0.40555441
T05,D14,0.160690149
T05,D15,0.214488541
T05,D16,0.05230029
T05,D17,0.271100663
T05,D18,0.300043659
T05,D19,0.266187318
T05,D20,0.441344426
T05,D21,0.843200586
T05,D22,0.724233526
T05,D23,1.520746834
T05,D24,2.25405459
T05,D25,1.415862881
T05,D26,1.695184634
T05,D27,0.449644661
T06,D0,0.040959389
T06,D1,0.020260917
T06,D2,0.246106251
T06,D3,0.025929275
T06,D4,0.019551079
T06,D5,0.016882595
T06,D6,0.027239897
T06,D7,0.039646662
T06,D8,0.167221743
T06,D9,0.030034876
T06,D10,0.230811163
T06,D11,0.293579376
T06,D12,0.146238713
T06,D13,0.469402017
T06,D14,0.404332247
T06,D15,0.307757841
T06,D16,1.253239285
T06,D17,0.876569718
T06,D18,0.637015054
T06,D19,0.961069045
T06,D20,0.469819441
T06,D21,0.201838727
T06,D22,1.966129406
T06,D23,0.999837636
T06,D24,0.937031893
T06,D25,2.362497865
T06,D26,2.007598926
T06,D27,1.298458866
T07,D0,0.02415606
T07,D1,0.023243352
T07,D2,0.044223683
T07,D3,0.036689447
T07,D4,0.235315299
T07,D5,0.072505686
T07,D6,4.49088151
T07,D7,0.173168016
T07,D8,0.248814499
T07,D9,0.169949984
T07,D11,0.141155394
T07,D12,0.339515052
T07,D14,0.055699564
T07,D15,0.156926034
T07,D16,0.410924723
T07,D17,1.049517717
T07,D18,1.934709063
T07,D19,0.78635677
T07,D20,0.638819531
T07,D21,1.71653129
T07,D22,1.259147455
T07,D23,1.600649034
T07,D24,0.568027043
T07,D25,0.919630081
T07,D26,1.278948956
T07,D27,2.009508668
T08,D0,0.084501061
T08,D1,0.026557626
T08,D3,0.150032597
T08,D4,0.335363318
T08,D5,0.00588915
T08,D7,0.045706462
T08,D8,0.288373052
T08,D10,0.219670765
T08,D12,0.186281055
T08,D14,0.115883356
T08,D15,0.076736866
T08,D19,0.379160487
T08,D22,0.515111803
T08,D24,0.283342595
T09,D1,0.040766073
T09,D4,0.017478364
T09,D6,0.258429074
T09,D7,0.044371324
T09,D8,0.348206679
T09,D11,0.162025597
T09,D13,0.367963083
T09,D15,0.103779057
T09,D19,1.149469929
T09,D20,0.460610775
T09,D22,2.307624543
T09,D24,2.738002012
T09,D27,2.512077207
