ID,period,PC1,PC2
O01,Normal,-0.68,1.78
O02,Normal,3.81,0.61
O03,Normal,1.19,-7.13
O04,Normal,10.6,-6.49
O05,Normal,-4.31,-0.08
O06,Normal,-2.5,-0.96
O07,Normal,5.22,-0.23
O08,Normal,-6.8,2.07
O09,Normal,5.16,-0.13
O10,Normal,0.56,2.84
T01,Normal,-2.03,1.17
T02,Normal,-0.56,-3.08
T03,Normal,-6.86,-4.44
T04,Normal,-2.39,2.83
T05,Normal,-2.74,2.68
T06,Normal,-1.81,3.57
T07,Normal,9.51,-1.48
T08,Normal,-1.57,2.7
T09,Normal,1.68,1.8
O01,Fiber,1.13,-0.1
O02,Fiber,4.8,-1.64
O03,Fiber,0.15,-6.37
O04,Fiber,3.77,-1.43
O05,Fiber,-3.44,-1.47
O06,Fiber,-1.55,-5.46
O07,Fiber,-1.73,-1.54
O08,Fiber,-1.8,0.72
O10,Fiber,-4.35,1.53
T01,Fiber,3.2,-4.19
T02,Fiber,-4.97,-2.51
T03,Fiber,-15.31,-7.3
T04,Fiber,-2.62,0.12
T05,Fiber,0.26,1.03
T06,Fiber,5.15,-4
T07,Fiber,0.87,1.39
T08,Fiber,2.51,3.08
T09,Fiber,0.51,4.99
O01,Follow_Up,8.44,-0.63
O02,Follow_Up,2.26,0.89
O03,Follow_Up,0.68,-1.31
O04,Follow_Up,3.74,-0.38
O05,Follow_Up,-0.89,-0.76
O06,Follow_Up,-2.36,-0.76
O07,Follow_Up,-1.94,-1.01
O08,Follow_Up,5,5.75
O09,Follow_Up,9.83,-2.31
O10,Follow_Up,-0.48,-0.16
T01,Follow_Up,3.78,1.34
T02,Follow_Up,-5.18,-0.86
T03,Follow_Up,-8.81,-1.2
T04,Follow_Up,-1.81,3.92
T05,Follow_Up,-2.28,3.23
T06,Follow_Up,-0.24,4.53
T07,Follow_Up,0.16,4.44
T08,Follow_Up,-3.01,5.6
T09,Follow_Up,1.06,4.77
