name,VIP_t,p.value,FC
"Ribose 1,5-bisphosphate",3.874677543,0.0039062,35.588
N-Acetyl-L-phenylalanine,2.466140886,0.074219,2.808
Adipic acid,2.462726796,0.074219,2.2156
Alloepipregnanolone,2.427428919,0.054688,2.492
Succinoadenosine,2.388593183,0.0078125,0.52988
Prostaglandin F3a,2.378127836,0.019531,0.38045
"2',4'-Dihydroxyacetophenone",2.304610855,0.0039062,0.04697
L-Glutamic acid,2.194478413,0.097656,1.412
Threonate,2.182382514,0.054688,2.6404
Homo-L-arginine,2.080969021,0.20312,2.0543
Bis(2-ethylhexyl)phthalate,2.080643653,0.027344,5.392
Pycnamine,2.014314355,0.027344,2.0304
13-L-Hydroperoxylinoleic acid,1.956127551,0.12891,0.78748
Phthalic acid,1.942937547,0.42578,0.45221
Glutamicaciddiethylester,1.93119793,0.30078,0.72547
4-Acetamidobutanoic acid,1.930619568,0.20312,2.0643
Uridine,1.924455787,0.054688,0.37197
4-Guanidinobutanoic acid,1.834214889,0.074219,1.38
Terephthalate,1.785017791,0.097656,1.8315
"Fructose 1,6-bisphosphate",1.755583545,0.12891,2.3306
AntibioticJI-20A,1.74906172,0.25,1.3202
L-3-Phenyllactic acid,1.739998701,0.039062,1.5292
Dihydrouracil,1.710020849,0.30078,0.49447
Palmitic acid,1.669048084,0.16406,0.15008
(R)-Pantolactone,1.664466228,0.097656,0.83966
"1-Methyl-6-oxo-1,6-dihydropyridine-3-carboxamide",1.637168035,0.16406,1.5071
Aspartame,1.633039108,0.039062,0.64648
L-Histidine,1.487019199,0.49609,0.89345
Taurocholic acid,1.481231028,0.35938,1.5677
Thymidine,1.456302931,0.097656,0.30572
N-Acetyl-L-aspartic acid,1.41221639,0.16406,0.28125
Dehydroepiandrosterone,1.40786707,0.57031,0.32889
Quinolinic acid,1.405853702,0.20312,0.85065
Citric acid,1.405288512,0.49609,1.8563
O-Phosphoethanolamine,1.399185059,0.42578,0.87915
Indolelactic acid,1.386058204,0.097656,0.73352
Pantothenic acid,1.378257647,0.12891,0.6142
L-Methionine,1.372611195,0.16406,0.89529
Procollagen5-hydroxy-L-lysine,1.369325518,0.16406,0.42876
Isorhamnetin,1.363341278,0.42578,0.77643
9(S)-HPODE,1.360369603,0.65234,0.66995
1-Methylhistidine,1.344926851,0.20312,1.2987
